input0;input1;input2;input3;input4;input5;input6;input7;ts;
0;0;0;0;0;0;1;0;2021-02-24T16:57:10.667Z;
6;0;0;0;0;0;1;0;2021-02-24T16:57:11.130Z;
6;0;0;0;0;0;1;0;2021-02-24T16:57:12.011Z;
6;0;0;0;0;0;1;0;2021-02-24T16:57:13.232Z;
6;0;0;0;0;0;1;0;2021-02-24T16:57:14.888Z;
6;0;0;0;0;0;1;0;2021-02-24T16:57:15.008Z;
0;0;0;0;1;1;0;1;2021-02-24T16:57:58.649Z;
0;0;6;0;1;1;0;1;2021-02-24T16:58:06.606Z;
0;6;0;0;1;1;0;1;2021-02-24T16:58:16.600Z;
0;6;0;0;1;1;0;1;2021-02-24T16:58:18.713Z;
0;0;6;0;1;1;0;1;2021-02-24T16:58:23.549Z;
0;0;6;0;1;1;0;1;2021-02-24T16:58:24.025Z;
0;0;6;0;1;1;0;1;2021-02-24T16:58:26.305Z;
0;0;6;0;1;1;0;1;2021-02-24T16:58:30.109Z;
0;6;0;0;1;1;0;1;2021-02-24T16:58:38.453Z;
0;6;0;0;1;1;0;1;2021-02-24T16:58:39.044Z;
0;0;6;0;1;1;0;1;2021-02-24T16:58:46.817Z;
0;0;0;9;1;1;0;1;2021-02-24T16:58:52.259Z;
0;9;0;0;1;1;0;1;2021-02-24T16:59:01.686Z;
0;0;0;6;1;1;0;1;2021-02-24T16:59:03.143Z;
0;0;9;0;1;1;0;1;2021-02-24T16:59:04.489Z;
0;0;6;0;1;1;0;1;2021-02-24T16:59:06.244Z;
0;9;0;0;1;1;0;1;2021-02-24T16:59:12.462Z;
0;6;0;0;1;1;0;1;2021-02-24T16:59:19.302Z;
0;0;6;0;1;1;0;1;2021-02-24T16:59:22.986Z;
0;0;0;0;1;1;0;1;2021-02-24T16:59:23.146Z;
