input0;input1;input2;input3;input4;input5;input6;input7;ts;
0;0;1;1;1;0;0;6;2021-02-24T16:56:43.520Z;
0;0;1;0;1;0;0;0;2021-02-24T16:57:03.980Z;
0;0;1;1;1;0;0;0;2021-02-24T16:57:13.115Z;
0;0;1;1;1;6;0;0;2021-02-24T16:57:36.679Z;
0;0;1;1;0;0;0;0;2021-02-24T16:58:00.385Z;
1;0;0;1;1;0;0;0;2021-02-24T16:58:18.363Z;
0;1;0;1;1;0;0;0;2021-02-24T16:58:27.139Z;
0;0;1;1;1;0;0;0;2021-02-24T16:58:28.105Z;
0;0;1;1;1;9;0;0;2021-02-24T16:58:43.196Z;
0;0;1;1;1;6;0;0;2021-02-24T16:58:48.355Z;
0;0;1;1;1;6;0;0;2021-02-24T16:58:53.512Z;
0;0;1;1;1;0;6;0;2021-02-24T16:59:01.027Z;
0;0;1;1;1;6;0;0;2021-02-24T16:59:16.959Z;
0;0;1;1;1;0;0;0;2021-02-24T16:59:17.008Z;
