input0;input1;input2;input3;input4;input5;input6;input7;ts;
1;1633;1;0;0;1;1;1;2021-02-24T16:56:27.025Z;
1;1636;1;0;0;1;1;1;2021-02-24T16:56:28.005Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:56:29.010Z;
1;1636;1;0;0;1;1;1;2021-02-24T16:56:30.000Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:56:31.019Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:56:32.000Z;
1;1638;1;0;0;1;1;1;2021-02-24T16:56:33.011Z;
1;1636;1;0;0;1;1;1;2021-02-24T16:56:34.009Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:56:35.020Z;
1;1636;1;0;0;1;1;1;2021-02-24T16:56:36.001Z;
1;1636;1;0;0;1;1;1;2021-02-24T16:56:37.009Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:56:38.004Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:56:39.005Z;
1;1636;1;0;0;1;1;1;2021-02-24T16:56:40.008Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:56:41.122Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:56:42.005Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:56:43.025Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:56:44.016Z;
1;1629;1;0;0;1;1;1;2021-02-24T16:56:45.007Z;
1;1691;1;0;0;1;1;1;2021-02-24T16:56:46.016Z;
1;1638;1;0;0;1;1;1;2021-02-24T16:56:47.008Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:56:48.038Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:56:49.010Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:56:50.000Z;
1;1636;1;0;0;1;1;1;2021-02-24T16:56:51.000Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:56:52.143Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:56:53.015Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:56:54.035Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:56:55.008Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:56:56.051Z;
1;1687;1;0;0;1;1;1;2021-02-24T16:56:57.017Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:56:58.010Z;
1;1638;1;0;0;1;1;1;2021-02-24T16:56:59.034Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:57:00.001Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:57:01.030Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:57:02.095Z;
1;1636;1;0;0;1;1;1;2021-02-24T16:57:03.007Z;
1;1636;1;0;0;1;1;1;2021-02-24T16:57:04.009Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:57:05.007Z;
1;1636;1;0;0;1;1;1;2021-02-24T16:57:06.007Z;
1;1636;1;0;0;1;1;1;2021-02-24T16:57:07.000Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:57:08.020Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:57:09.032Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:57:10.001Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:57:11.003Z;
1;1636;1;0;0;1;1;1;2021-02-24T16:57:12.008Z;
1;1636;1;0;0;1;1;1;2021-02-24T16:57:13.008Z;
0;1626;1;0;0;1;1;1;2021-02-24T16:57:14.001Z;
0;1631;1;0;0;1;1;1;2021-02-24T16:57:15.003Z;
0;1629;1;0;0;1;1;1;2021-02-24T16:57:16.009Z;
0;1626;1;0;0;1;1;1;2021-02-24T16:57:17.026Z;
0;1626;1;0;0;1;1;1;2021-02-24T16:57:18.016Z;
0;1626;1;0;0;1;1;1;2021-02-24T16:57:19.019Z;
0;1626;1;0;0;1;1;1;2021-02-24T16:57:20.005Z;
0;1629;1;0;0;1;1;1;2021-02-24T16:57:21.008Z;
0;1626;1;0;0;1;1;1;2021-02-24T16:57:22.018Z;
0;1629;1;0;0;1;1;1;2021-02-24T16:57:23.001Z;
0;1626;1;0;0;1;1;1;2021-02-24T16:57:24.025Z;
0;1626;1;0;0;1;1;1;2021-02-24T16:57:25.057Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:57:26.006Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:57:27.050Z;
1;801;1;0;0;1;1;1;2021-02-24T16:57:28.009Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:57:29.009Z;
1;1636;0;0;0;1;1;1;2021-02-24T16:57:30.107Z;
1;1633;1;0;0;0;1;1;2021-02-24T16:57:31.258Z;
1;1636;1;0;0;0;1;1;2021-02-24T16:57:32.755Z;
1;1636;1;0;0;0;1;1;2021-02-24T16:57:33.044Z;
1;1636;1;0;0;0;1;1;2021-02-24T16:57:34.095Z;
1;1631;1;0;0;0;1;1;2021-02-24T16:57:35.036Z;
1;1633;1;0;0;0;1;1;2021-02-24T16:57:36.005Z;
1;1633;1;0;0;0;1;1;2021-02-24T16:57:37.001Z;
1;1633;1;0;0;0;1;1;2021-02-24T16:57:38.008Z;
1;1636;1;0;0;0;1;1;2021-02-24T16:57:39.200Z;
1;1633;1;0;0;0;1;1;2021-02-24T16:57:40.014Z;
1;1631;1;0;0;0;1;1;2021-02-24T16:57:41.009Z;
1;1633;1;0;0;0;1;1;2021-02-24T16:57:42.014Z;
1;1631;1;0;0;0;1;1;2021-02-24T16:57:43.007Z;
1;1633;1;0;0;0;1;1;2021-02-24T16:57:44.005Z;
1;1633;1;0;0;0;1;1;2021-02-24T16:57:45.010Z;
1;1633;1;0;0;0;1;1;2021-02-24T16:57:46.002Z;
1;1631;1;0;0;0;1;1;2021-02-24T16:57:47.004Z;
1;1631;1;0;0;0;1;1;2021-02-24T16:57:48.006Z;
1;1633;1;0;0;0;1;1;2021-02-24T16:57:49.008Z;
1;1615;1;0;0;0;1;1;2021-02-24T16:57:50.006Z;
1;1615;1;0;0;0;1;1;2021-02-24T16:57:51.001Z;
1;1617;1;0;0;0;1;1;2021-02-24T16:57:52.037Z;
1;1619;1;0;0;0;1;1;2021-02-24T16:57:53.026Z;
1;1617;1;0;0;1;1;1;2021-02-24T16:57:54.007Z;
1;1615;1;0;0;1;1;1;2021-02-24T16:57:55.007Z;
1;1619;1;0;0;1;1;1;2021-02-24T16:57:56.015Z;
1;1615;1;0;0;1;1;1;2021-02-24T16:57:57.005Z;
1;1629;1;0;0;1;1;1;2021-02-24T16:57:58.026Z;
1;1629;1;0;0;1;1;1;2021-02-24T16:57:59.035Z;
1;1629;1;0;0;1;1;1;2021-02-24T16:58:00.047Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:58:01.006Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:58:02.022Z;
1;1689;1;0;0;1;1;1;2021-02-24T16:58:03.005Z;
1;1636;1;0;0;1;1;1;2021-02-24T16:58:04.107Z;
1;1636;1;0;0;1;1;1;2021-02-24T16:58:05.030Z;
1;1636;1;0;0;1;1;1;2021-02-24T16:58:06.002Z;
1;1636;1;0;0;1;1;1;2021-02-24T16:58:07.044Z;
1;1636;1;0;0;1;1;1;2021-02-24T16:58:08.015Z;
1;1636;1;0;0;1;1;1;2021-02-24T16:58:09.077Z;
1;1636;1;0;0;1;1;1;2021-02-24T16:58:10.005Z;
1;1636;1;0;0;1;1;1;2021-02-24T16:58:11.015Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:58:12.008Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:58:13.004Z;
1;1629;1;0;0;1;1;1;2021-02-24T16:58:14.063Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:58:15.043Z;
1;1636;1;0;0;1;1;1;2021-02-24T16:58:16.004Z;
1;1636;1;0;0;1;1;1;2021-02-24T16:58:17.038Z;
1;1636;1;0;0;1;1;1;2021-02-24T16:58:18.073Z;
1;1689;1;0;0;1;1;1;2021-02-24T16:58:19.033Z;
