input0;input1;input2;input3;input4;input5;input6;input7;ts;
1;1;1;0;0;0;1;1840;2021-02-24T16:56:26.414Z;
1;1;1;0;0;0;1;1842;2021-02-24T16:56:27.232Z;
1;1;1;0;0;0;1;1840;2021-02-24T16:56:28.887Z;
1;1;1;0;0;0;1;1842;2021-02-24T16:56:29.395Z;
0;0;0;0;0;0;1;1845;2021-02-24T16:56:40.611Z;
0;0;0;0;0;0;1;1847;2021-02-24T16:56:41.018Z;
0;0;0;0;0;0;1;1847;2021-02-24T16:56:42.052Z;
0;0;0;0;0;0;1;1842;2021-02-24T16:56:43.014Z;
0;0;0;0;0;0;1;1852;2021-02-24T16:56:44.005Z;
0;0;0;0;0;0;1;1847;2021-02-24T16:56:45.007Z;
0;0;0;0;0;0;1;1845;2021-02-24T16:56:46.011Z;
0;0;0;0;0;0;1;1847;2021-02-24T16:56:47.011Z;
0;0;0;0;0;0;1;1847;2021-02-24T16:56:48.009Z;
0;0;0;0;0;0;1;1835;2021-02-24T16:56:49.073Z;
0;0;0;0;0;0;1;1845;2021-02-24T16:56:50.021Z;
0;0;0;0;0;0;1;1847;2021-02-24T16:56:51.008Z;
0;0;0;0;0;0;1;1845;2021-02-24T16:56:52.003Z;
0;0;0;0;0;0;1;1842;2021-02-24T16:56:53.010Z;
0;0;0;0;0;0;1;1868;2021-02-24T16:56:54.000Z;
0;0;0;0;0;0;1;1842;2021-02-24T16:56:55.002Z;
0;0;0;0;0;0;1;1849;2021-02-24T16:56:56.000Z;
0;0;0;0;0;0;1;1849;2021-02-24T16:56:57.008Z;
0;0;0;0;0;0;1;1847;2021-02-24T16:56:58.020Z;
0;0;0;0;0;0;1;1847;2021-02-24T16:56:59.013Z;
0;0;0;0;0;0;1;1847;2021-02-24T16:57:00.012Z;
0;0;0;0;0;0;1;1849;2021-02-24T16:57:01.001Z;
0;0;0;0;0;0;1;1852;2021-02-24T16:57:02.116Z;
0;0;0;0;0;0;1;1854;2021-02-24T16:57:03.019Z;
0;0;0;0;0;0;1;1852;2021-02-24T16:57:04.011Z;
0;0;0;0;0;0;1;1849;2021-02-24T16:57:05.004Z;
0;0;0;0;0;0;1;1845;2021-02-24T16:57:06.000Z;
0;0;0;0;0;0;1;1847;2021-02-24T16:57:07.009Z;
0;0;0;0;0;0;1;1845;2021-02-24T16:57:08.118Z;
0;0;0;0;0;0;1;1842;2021-02-24T16:57:09.026Z;
0;0;0;0;0;0;1;1849;2021-02-24T16:57:10.000Z;
0;1;1;0;0;0;1;1847;2021-02-24T16:57:16.124Z;
1;1;1;0;0;0;1;1845;2021-02-24T16:57:43.267Z;
0;0;0;0;0;0;1;1847;2021-02-24T16:57:51.342Z;
0;0;0;0;0;0;1;1852;2021-02-24T16:58:07.684Z;
1;1;1;0;0;0;1;1847;2021-02-24T16:58:24.017Z;
1;1;1;0;0;0;1;1852;2021-02-24T16:58:25.422Z;
1;1;1;0;0;0;1;1849;2021-02-24T16:58:26.341Z;
1;1;1;0;0;0;1;1849;2021-02-24T16:58:27.143Z;
1;1;1;0;0;0;1;1852;2021-02-24T16:58:30.296Z;
1;1;1;0;0;0;1;1847;2021-02-24T16:58:31.283Z;
1;1;1;0;0;0;1;1847;2021-02-24T16:58:33.144Z;
1;1;1;0;0;0;1;1852;2021-02-24T16:58:34.531Z;
1;1;1;0;0;0;1;1849;2021-02-24T16:58:35.003Z;
1;1;1;0;0;0;1;1852;2021-02-24T16:58:36.650Z;
1;1;1;0;0;0;1;1849;2021-02-24T16:58:37.484Z;
1;1;1;0;0;0;1;1852;2021-02-24T16:58:38.757Z;
1;1;1;0;0;0;1;1849;2021-02-24T16:58:39.270Z;
0;0;0;0;0;0;1;1849;2021-02-24T16:58:46.783Z;
0;0;0;0;0;0;1;1854;2021-02-24T16:59:03.867Z;
1;1;1;0;0;0;1;1854;2021-02-24T16:59:20.265Z;
1;1;1;0;0;0;1;1849;2021-02-24T16:59:21.599Z;
1;1;1;0;0;0;1;1854;2021-02-24T16:59:22.032Z;
1;1;1;0;0;0;1;1856;2021-02-24T16:59:23.611Z;
