currentState;newState;ts;
IDLE;START;2021-02-24T16:57:13.167Z;
START;COLOR_DETECTION;2021-02-24T16:57:13.397Z;
COLOR_DETECTION;START_COUNT;2021-02-24T16:57:29.918Z;
START_COUNT;CHECK_COUNT;2021-02-24T16:57:30.127Z;
CHECK_COUNT;EJECTION_WHITE;2021-02-24T16:57:30.412Z;
EJECTION_WHITE;SORTED;2021-02-24T16:57:31.034Z;
SORTED;IDLE;2021-02-24T16:57:32.554Z;
IDLE;START;2021-02-24T16:58:31.096Z;
START;COLOR_DETECTION;2021-02-24T16:58:31.129Z;
COLOR_DETECTION;START_COUNT;2021-02-24T16:58:36.287Z;
START_COUNT;CHECK_COUNT;2021-02-24T16:58:36.424Z;
CHECK_COUNT;EJECTION_BLUE;2021-02-24T16:58:38.980Z;
EJECTION_BLUE;SORTED;2021-02-24T16:58:39.700Z;
SORTED;IDLE;2021-02-24T16:58:40.813Z;
