currentState;newState;ts;
IDLE;FETCH_WP_VGR_ORDER;2021-02-24T16:56:29.278Z;
FETCH_WP_VGR_ORDER;VGR_WAIT_FETCHED;2021-02-24T16:56:40.561Z;
VGR_WAIT_FETCHED;MOVE_VGR2MPO;2021-02-24T16:57:16.057Z;
MOVE_VGR2MPO;START_PRODUCE;2021-02-24T16:57:42.967Z;
START_PRODUCE;IDLE;2021-02-24T16:57:43.313Z;
IDLE;NFC_PRODUCED;2021-02-24T16:57:51.277Z;
NFC_PRODUCED;MOVE_PICKUP_WAIT;2021-02-24T16:58:07.658Z;
MOVE_PICKUP_WAIT;MOVE_PICKUP;2021-02-24T16:58:23.967Z;
MOVE_PICKUP;IDLE;2021-02-24T16:58:24.207Z;
IDLE;NFC_PRODUCED;2021-02-24T16:58:46.596Z;
NFC_PRODUCED;MOVE_PICKUP_WAIT;2021-02-24T16:59:03.835Z;
MOVE_PICKUP_WAIT;MOVE_PICKUP;2021-02-24T16:59:20.190Z;
MOVE_PICKUP;IDLE;2021-02-24T16:59:20.401Z;
