input0;input1;input2;input3;input4;input5;input6;input7;ts;
0;0;0;0;0;0;1;0;2021-02-24T16:38:27.539Z;
6;0;0;0;0;0;1;0;2021-02-24T16:38:28.027Z;
6;0;0;0;0;0;1;0;2021-02-24T16:38:29.044Z;
0;0;0;0;0;0;1;0;2021-02-24T16:38:30.000Z;
6;0;0;0;0;0;1;0;2021-02-24T16:38:31.004Z;
6;0;0;0;0;0;1;0;2021-02-24T16:38:32.005Z;
0;0;0;0;0;0;1;0;2021-02-24T16:38:33.007Z;
0;0;0;0;1;1;0;1;2021-02-24T16:39:00.787Z;
0;6;0;0;1;1;0;1;2021-02-24T16:39:09.185Z;
0;6;0;0;1;1;0;1;2021-02-24T16:39:12.404Z;
0;6;0;0;1;1;0;1;2021-02-24T16:39:13.855Z;
0;6;0;0;1;1;0;1;2021-02-24T16:39:24.448Z;
0;6;0;0;1;1;0;1;2021-02-24T16:39:56.336Z;
0;6;0;0;1;1;0;1;2021-02-24T16:39:58.885Z;
0;6;0;0;1;1;0;1;2021-02-24T16:40:06.489Z;
0;0;6;0;1;1;0;1;2021-02-24T16:40:19.616Z;
0;6;0;0;1;1;0;1;2021-02-24T16:40:22.999Z;
0;0;0;0;1;1;0;1;2021-02-24T16:40:23.150Z;
0;0;9;0;1;1;0;1;2021-02-24T16:40:25.803Z;
0;0;0;6;1;1;0;1;2021-02-24T16:40:27.028Z;
0;13;0;0;1;1;0;1;2021-02-24T16:40:32.315Z;
