input0;input1;input2;input3;input4;input5;input6;input7;ts;
1;0;0;1;1;6;0;0;2021-02-24T16:37:59.939Z;
1;0;0;1;1;9;0;0;2021-02-24T16:38:11.373Z;
1;0;0;1;1;0;6;0;2021-02-24T16:38:51.772Z;
1;0;0;1;1;0;6;0;2021-02-24T16:38:53.775Z;
1;0;0;1;1;0;0;0;2021-02-24T16:38:54.012Z;
1;0;0;1;0;0;0;0;2021-02-24T16:39:17.428Z;
1;0;0;1;1;0;0;0;2021-02-24T16:39:33.163Z;
0;1;0;1;1;0;0;0;2021-02-24T16:39:42.227Z;
0;0;1;1;1;0;0;0;2021-02-24T16:39:43.337Z;
0;0;1;1;1;6;0;0;2021-02-24T16:40:11.823Z;
0;0;1;1;1;0;6;0;2021-02-24T16:40:15.415Z;
0;0;1;1;1;6;0;0;2021-02-24T16:40:20.238Z;
0;0;1;1;1;0;11;0;2021-02-24T16:40:26.752Z;
0;0;1;1;1;6;0;0;2021-02-24T16:40:36.279Z;
