input0;input1;input2;input3;input4;input5;input6;input7;ts;
1;1633;1;0;0;1;1;1;2021-02-24T16:37:57.018Z;
1;1629;1;0;0;1;1;1;2021-02-24T16:37:58.019Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:37:59.004Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:38:00.014Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:38:01.006Z;
1;1689;1;0;0;1;1;1;2021-02-24T16:38:02.029Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:38:03.013Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:38:04.010Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:38:05.006Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:38:06.005Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:38:07.003Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:38:08.022Z;
1;1629;1;0;0;1;1;1;2021-02-24T16:38:09.004Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:38:10.001Z;
1;1629;1;0;0;1;1;1;2021-02-24T16:38:11.018Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:38:12.010Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:38:13.018Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:38:14.008Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:38:15.008Z;
1;1629;1;0;0;1;1;1;2021-02-24T16:38:16.006Z;
1;1629;1;0;0;1;1;1;2021-02-24T16:38:17.009Z;
1;1629;1;0;0;1;1;1;2021-02-24T16:38:18.004Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:38:19.007Z;
1;1629;1;0;0;1;1;1;2021-02-24T16:38:20.007Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:38:21.008Z;
1;1629;1;0;0;1;1;1;2021-02-24T16:38:22.008Z;
1;1626;1;0;0;1;1;1;2021-02-24T16:38:23.003Z;
1;1629;1;0;0;1;1;1;2021-02-24T16:38:24.003Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:38:25.000Z;
1;1629;1;0;0;1;1;1;2021-02-24T16:38:26.011Z;
1;1629;1;0;0;1;1;1;2021-02-24T16:38:27.000Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:38:28.036Z;
1;1629;1;0;0;1;1;1;2021-02-24T16:38:29.007Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:38:30.006Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:38:31.017Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:38:32.018Z;
1;1629;1;0;0;1;1;1;2021-02-24T16:38:33.001Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:38:34.011Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:38:35.002Z;
1;1629;1;0;0;1;1;1;2021-02-24T16:38:36.003Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:38:37.025Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:38:38.040Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:38:39.022Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:38:40.007Z;
1;1689;1;0;0;1;1;1;2021-02-24T16:38:41.011Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:38:42.038Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:38:43.006Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:38:44.022Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:38:45.004Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:38:46.003Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:38:47.005Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:38:48.060Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:38:49.009Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:38:50.005Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:38:51.006Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:38:52.031Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:38:53.007Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:38:54.018Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:38:55.000Z;
1;1629;1;0;0;1;1;1;2021-02-24T16:38:56.005Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:38:57.014Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:38:58.000Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:38:59.011Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:39:00.000Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:39:01.007Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:39:02.005Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:39:03.012Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:39:04.012Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:39:05.053Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:39:06.035Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:39:07.010Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:39:08.056Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:39:09.034Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:39:10.000Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:39:11.000Z;
1;1689;1;0;0;1;1;1;2021-02-24T16:39:12.009Z;
1;1684;1;0;0;1;1;1;2021-02-24T16:39:13.050Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:39:14.019Z;
