input0;input1;input2;input3;input4;input5;input6;input7;ts;
1;1;1;0;0;0;1;1768;2021-02-24T16:37:57.052Z;
1;1;1;0;0;0;1;1766;2021-02-24T16:37:58.317Z;
1;1;1;0;0;0;1;1770;2021-02-24T16:37:59.543Z;
1;1;1;0;0;0;1;1768;2021-02-24T16:38:00.370Z;
0;0;0;0;0;0;1;1768;2021-02-24T16:38:12.985Z;
0;0;0;0;0;0;1;1766;2021-02-24T16:38:13.010Z;
0;0;0;0;0;0;1;1773;2021-02-24T16:38:14.035Z;
0;0;0;0;0;0;1;1773;2021-02-24T16:38:15.021Z;
0;0;0;0;0;0;1;1768;2021-02-24T16:38:16.015Z;
0;0;0;0;0;0;1;1768;2021-02-24T16:38:17.022Z;
0;0;0;0;0;0;1;1768;2021-02-24T16:38:18.003Z;
0;0;0;0;0;0;1;1770;2021-02-24T16:38:19.008Z;
0;0;0;0;0;0;1;1768;2021-02-24T16:38:20.083Z;
0;0;0;0;0;0;1;1768;2021-02-24T16:38:21.076Z;
0;0;0;0;0;0;1;1770;2021-02-24T16:38:22.002Z;
0;0;0;0;0;0;1;1768;2021-02-24T16:38:23.004Z;
0;0;0;0;0;0;1;1768;2021-02-24T16:38:24.045Z;
0;0;0;0;0;0;1;1768;2021-02-24T16:38:25.017Z;
0;0;0;0;0;0;1;1770;2021-02-24T16:38:26.006Z;
0;0;0;0;0;0;1;1770;2021-02-24T16:38:27.001Z;
0;1;1;0;0;0;1;1770;2021-02-24T16:38:33.075Z;
1;1;1;0;0;0;1;1773;2021-02-24T16:39:00.175Z;
1;1;1;0;0;0;1;1775;2021-02-24T16:39:01.854Z;
1;1;1;0;0;0;1;1773;2021-02-24T16:39:02.315Z;
1;1;1;0;0;0;1;1773;2021-02-24T16:39:03.333Z;
1;1;1;0;0;0;1;1773;2021-02-24T16:39:04.539Z;
1;1;1;0;0;0;1;1770;2021-02-24T16:39:05.102Z;
1;1;1;0;0;0;1;1775;2021-02-24T16:39:06.488Z;
1;1;1;0;0;0;1;1777;2021-02-24T16:39:08.070Z;
1;1;1;0;0;0;1;1773;2021-02-24T16:39:09.456Z;
1;1;1;0;0;0;1;1775;2021-02-24T16:39:10.326Z;
1;1;1;0;0;0;1;1773;2021-02-24T16:39:11.150Z;
1;1;1;0;0;0;1;1798;2021-02-24T16:39:12.536Z;
1;1;1;0;0;0;1;1775;2021-02-24T16:39:13.352Z;
1;1;1;0;0;0;1;1775;2021-02-24T16:39:15.714Z;
1;1;1;0;0;0;1;1773;2021-02-24T16:39:16.855Z;
1;1;1;0;0;0;1;1775;2021-02-24T16:39:17.298Z;
1;1;1;0;0;0;1;1775;2021-02-24T16:39:18.184Z;
1;1;1;0;0;0;1;1773;2021-02-24T16:39:19.570Z;
1;1;1;0;0;0;1;1777;2021-02-24T16:39:20.548Z;
1;1;1;0;0;0;1;1773;2021-02-24T16:39:21.258Z;
1;1;1;0;0;0;1;1773;2021-02-24T16:39:22.143Z;
1;1;1;0;0;0;1;1775;2021-02-24T16:39:23.530Z;
1;1;1;0;0;0;1;1773;2021-02-24T16:39:24.187Z;
1;1;1;0;0;0;1;1775;2021-02-24T16:39:25.574Z;
1;1;1;0;0;0;1;1770;2021-02-24T16:39:26.096Z;
1;1;1;0;0;0;1;1787;2021-02-24T16:39:27.483Z;
1;1;1;0;0;0;1;1796;2021-02-24T16:39:28.311Z;
1;1;1;0;0;0;1;1808;2021-02-24T16:39:29.110Z;
1;1;1;0;0;0;1;1801;2021-02-24T16:39:30.497Z;
1;1;1;0;0;0;1;1801;2021-02-24T16:39:32.138Z;
1;1;1;0;0;0;1;1803;2021-02-24T16:39:33.920Z;
1;1;1;0;0;0;1;1805;2021-02-24T16:39:34.342Z;
1;1;1;0;0;0;1;1794;2021-02-24T16:39:35.139Z;
1;1;1;0;0;0;1;1782;2021-02-24T16:39:36.527Z;
1;1;1;0;0;0;1;1784;2021-02-24T16:39:37.176Z;
1;1;1;0;0;0;1;1780;2021-02-24T16:39:38.563Z;
1;1;1;0;0;0;1;1777;2021-02-24T16:39:39.048Z;
1;1;1;0;0;0;1;1782;2021-02-24T16:39:41.518Z;
1;1;1;0;0;0;1;1780;2021-02-24T16:39:42.089Z;
1;1;1;0;0;0;1;1780;2021-02-24T16:39:43.369Z;
1;1;1;0;0;0;1;1784;2021-02-24T16:39:44.179Z;
1;1;1;0;0;0;1;1791;2021-02-24T16:39:45.567Z;
1;1;1;0;0;0;1;1791;2021-02-24T16:39:46.388Z;
1;1;1;0;0;0;1;1796;2021-02-24T16:39:47.197Z;
1;1;1;0;0;0;1;1798;2021-02-24T16:39:48.584Z;
1;1;1;0;0;0;1;1796;2021-02-24T16:39:49.142Z;
1;1;1;0;0;0;1;1798;2021-02-24T16:39:50.921Z;
1;1;1;0;0;0;1;1796;2021-02-24T16:39:51.721Z;
1;1;1;0;0;0;1;1798;2021-02-24T16:39:52.520Z;
1;1;1;0;0;0;1;1798;2021-02-24T16:39:53.319Z;
1;1;1;0;0;0;1;1801;2021-02-24T16:39:54.305Z;
1;1;1;0;0;0;1;1805;2021-02-24T16:39:55.235Z;
0;0;0;0;0;0;1;1777;2021-02-24T16:40:02.567Z;
0;0;0;0;0;0;1;1787;2021-02-24T16:40:20.015Z;
1;1;1;0;0;0;1;1782;2021-02-24T16:40:36.224Z;
1;1;1;0;0;0;1;1782;2021-02-24T16:40:37.123Z;
1;1;1;0;0;0;1;1784;2021-02-24T16:40:38.342Z;
