input0;input1;input2;input3;input4;input5;input6;input7;ts;
0;6;0;0;1;1;0;1;2021-02-24T16:41:02.368Z;
0;0;0;0;0;0;1;0;2021-02-24T16:41:36.812Z;
6;0;0;0;0;0;1;0;2021-02-24T16:41:37.521Z;
6;0;0;0;0;0;1;0;2021-02-24T16:41:38.125Z;
6;0;0;0;0;0;1;0;2021-02-24T16:41:39.063Z;
6;0;0;0;0;0;1;0;2021-02-24T16:41:40.062Z;
0;0;0;0;0;0;1;0;2021-02-24T16:41:41.009Z;
6;0;0;0;0;0;1;0;2021-02-24T16:41:42.028Z;
0;0;0;0;1;1;0;1;2021-02-24T16:42:17.597Z;
0;13;0;0;1;1;0;1;2021-02-24T16:42:20.099Z;
0;0;6;0;1;1;0;1;2021-02-24T16:42:48.808Z;
0;6;0;0;1;1;0;1;2021-02-24T16:42:50.264Z;
0;0;6;0;1;1;0;1;2021-02-24T16:42:53.112Z;
0;0;6;0;1;1;0;1;2021-02-24T16:42:54.483Z;
0;0;9;0;1;1;0;1;2021-02-24T16:42:55.540Z;
0;0;6;0;1;1;0;1;2021-02-24T16:43:07.798Z;
0;0;0;0;1;1;0;1;2021-02-24T16:43:08.026Z;
0;0;6;0;1;1;0;1;2021-02-24T16:43:10.853Z;
0;0;6;0;1;1;0;1;2021-02-24T16:43:22.071Z;
0;6;0;0;1;1;0;1;2021-02-24T16:43:25.926Z;
0;0;0;0;1;1;0;1;2021-02-24T16:43:26.023Z;
0;9;0;0;1;1;0;1;2021-02-24T16:43:31.087Z;
0;6;0;0;1;1;0;1;2021-02-24T16:43:42.379Z;
