input0;input1;input2;input3;input4;input5;input6;input7;ts;
1;1631;1;0;0;1;1;1;2021-02-24T16:41:00.003Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:41:01.005Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:41:02.096Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:41:03.006Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:41:04.023Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:41:05.027Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:41:06.073Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:41:07.044Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:41:08.000Z;
1;1629;1;0;0;1;1;1;2021-02-24T16:41:09.028Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:41:10.038Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:41:11.008Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:41:12.086Z;
1;1636;1;0;0;1;1;1;2021-02-24T16:41:13.000Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:41:14.005Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:41:15.005Z;
1;1689;1;0;0;1;1;1;2021-02-24T16:41:16.011Z;
1;1636;1;0;0;1;1;1;2021-02-24T16:41:17.018Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:41:18.007Z;
1;1629;1;0;0;1;1;1;2021-02-24T16:41:19.003Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:41:20.003Z;
1;1636;1;0;0;1;1;1;2021-02-24T16:41:21.024Z;
1;1636;1;0;0;1;1;1;2021-02-24T16:41:22.044Z;
1;1629;1;0;0;1;1;1;2021-02-24T16:41:23.000Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:41:24.004Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:41:25.006Z;
1;1629;1;0;0;1;1;1;2021-02-24T16:41:26.002Z;
1;1629;1;0;0;1;1;1;2021-02-24T16:41:27.006Z;
1;1629;1;0;0;1;1;1;2021-02-24T16:41:28.008Z;
1;1629;1;0;0;1;1;1;2021-02-24T16:41:29.005Z;
1;1629;1;0;0;1;1;1;2021-02-24T16:41:30.023Z;
1;1629;1;0;0;1;1;1;2021-02-24T16:41:31.110Z;
1;1629;1;0;0;1;1;1;2021-02-24T16:41:32.005Z;
1;1629;1;0;0;1;1;1;2021-02-24T16:41:33.003Z;
1;1629;1;0;0;1;1;1;2021-02-24T16:41:34.003Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:41:35.001Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:41:36.002Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:41:37.010Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:41:38.002Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:41:39.075Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:41:40.046Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:41:41.018Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:41:42.002Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:41:43.009Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:41:44.014Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:41:45.008Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:41:46.028Z;
1;1689;1;0;0;1;1;1;2021-02-24T16:41:47.012Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:41:48.006Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:41:49.007Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:41:50.003Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:41:51.000Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:41:52.001Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:41:53.032Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:41:54.013Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:41:55.036Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:41:56.024Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:41:57.083Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:41:58.042Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:41:59.030Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:42:00.092Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:42:01.146Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:42:02.012Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:42:03.000Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:42:04.003Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:42:05.007Z;
1;1636;1;0;0;1;1;1;2021-02-24T16:42:06.006Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:42:07.085Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:42:08.027Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:42:09.026Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:42:10.006Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:42:11.006Z;
1;1689;1;0;0;1;1;1;2021-02-24T16:42:12.015Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:42:13.021Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:42:14.004Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:42:15.031Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:42:16.000Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:42:17.009Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:42:18.047Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:42:19.000Z;
1;1636;1;0;0;1;1;1;2021-02-24T16:42:20.024Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:42:21.016Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:42:22.007Z;
1;1617;1;0;0;1;1;1;2021-02-24T16:42:23.000Z;
1;1629;1;0;0;1;1;1;2021-02-24T16:42:24.009Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:42:25.020Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:42:26.021Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:42:27.010Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:42:28.014Z;
1;1629;1;0;0;1;1;1;2021-02-24T16:42:29.010Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:42:30.040Z;
1;1636;1;0;0;1;1;1;2021-02-24T16:42:31.000Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:42:32.070Z;
1;1636;1;0;0;1;1;1;2021-02-24T16:42:33.029Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:42:34.000Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:42:35.004Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:42:36.006Z;
1;1629;1;0;0;1;1;1;2021-02-24T16:42:37.000Z;
1;1629;1;0;0;1;1;1;2021-02-24T16:42:38.039Z;
1;1636;1;0;0;1;1;1;2021-02-24T16:42:39.020Z;
1;1629;1;0;0;1;1;1;2021-02-24T16:42:40.000Z;
1;1629;1;0;0;1;1;1;2021-02-24T16:42:41.006Z;
1;1629;1;0;0;1;1;1;2021-02-24T16:42:42.116Z;
1;1629;1;0;0;1;1;1;2021-02-24T16:42:43.011Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:42:44.006Z;
1;1636;1;0;0;1;1;1;2021-02-24T16:42:45.002Z;
1;1629;1;0;0;1;1;1;2021-02-24T16:42:46.014Z;
1;1629;1;0;0;1;1;1;2021-02-24T16:42:47.018Z;
1;1629;1;0;0;1;1;1;2021-02-24T16:42:48.018Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:42:49.007Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:42:50.001Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:42:51.033Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:42:52.019Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:42:53.009Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:42:54.010Z;
1;1629;1;0;0;1;1;1;2021-02-24T16:42:55.007Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:42:56.016Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:42:57.050Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:42:58.001Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:42:59.009Z;
0;1626;1;0;0;1;1;1;2021-02-24T16:43:00.177Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:43:01.010Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:43:02.006Z;
1;1450;1;0;0;1;1;1;2021-02-24T16:43:03.066Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:43:04.002Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:43:05.015Z;
1;1617;1;0;0;1;1;1;2021-02-24T16:43:06.019Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:43:07.081Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:43:08.020Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:43:09.023Z;
1;1633;1;0;0;1;1;0;2021-02-24T16:43:10.206Z;
1;1629;1;0;0;1;1;0;2021-02-24T16:43:11.006Z;
1;1636;1;0;0;1;1;0;2021-02-24T16:43:12.010Z;
1;1629;1;0;0;1;1;0;2021-02-24T16:43:13.011Z;
1;1629;1;0;0;1;1;0;2021-02-24T16:43:14.009Z;
1;1631;1;0;0;1;1;0;2021-02-24T16:43:15.011Z;
1;1629;1;0;0;1;1;0;2021-02-24T16:43:16.009Z;
1;1629;1;0;0;1;1;0;2021-02-24T16:43:17.006Z;
1;1629;1;0;0;1;1;0;2021-02-24T16:43:18.016Z;
1;1629;1;0;0;1;1;1;2021-02-24T16:43:19.017Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:43:20.017Z;
