input0;input1;input2;input3;input4;input5;input6;input7;ts;
1;1;1;0;0;0;1;1780;2021-02-24T16:41:00.006Z;
1;1;1;0;0;0;1;1784;2021-02-24T16:41:01.304Z;
1;1;1;0;0;0;1;1780;2021-02-24T16:41:02.887Z;
1;1;1;0;0;0;1;1782;2021-02-24T16:41:03.235Z;
0;0;0;0;0;0;1;1782;2021-02-24T16:41:15.209Z;
0;0;0;0;0;0;1;1780;2021-02-24T16:41:16.009Z;
0;0;0;0;0;0;1;1784;2021-02-24T16:41:17.004Z;
0;0;0;0;0;0;1;1782;2021-02-24T16:41:18.006Z;
0;0;0;0;0;0;1;1782;2021-02-24T16:41:19.018Z;
0;0;0;0;0;0;1;1780;2021-02-24T16:41:20.048Z;
0;0;0;0;0;0;1;1782;2021-02-24T16:41:21.000Z;
0;0;0;0;0;0;1;1784;2021-02-24T16:41:22.033Z;
0;0;0;0;0;0;1;1784;2021-02-24T16:41:23.009Z;
0;0;0;0;0;0;1;1787;2021-02-24T16:41:24.001Z;
0;0;0;0;0;0;1;1782;2021-02-24T16:41:25.001Z;
0;0;0;0;0;0;1;1782;2021-02-24T16:41:26.009Z;
0;0;0;0;0;0;1;1784;2021-02-24T16:41:27.001Z;
0;0;0;0;0;0;1;1782;2021-02-24T16:41:28.008Z;
0;0;0;0;0;0;1;1782;2021-02-24T16:41:29.001Z;
0;0;0;0;0;0;1;1782;2021-02-24T16:41:30.004Z;
0;0;0;0;0;0;1;1782;2021-02-24T16:41:31.104Z;
0;0;0;0;0;0;1;1782;2021-02-24T16:41:32.008Z;
0;0;0;0;0;0;1;1787;2021-02-24T16:41:33.015Z;
0;0;0;0;0;0;1;1782;2021-02-24T16:41:34.014Z;
0;0;0;0;0;0;1;1787;2021-02-24T16:41:35.023Z;
0;0;0;0;0;0;1;1782;2021-02-24T16:41:36.051Z;
0;1;1;0;0;0;1;1782;2021-02-24T16:41:42.698Z;
1;1;1;0;0;0;1;1789;2021-02-24T16:42:09.763Z;
1;1;1;0;0;0;1;1789;2021-02-24T16:42:11.273Z;
1;1;1;0;0;0;1;1787;2021-02-24T16:42:12.078Z;
1;1;1;0;0;0;1;1789;2021-02-24T16:42:13.272Z;
