input0;input1;input2;input3;input4;input5;input6;input7;ts;
0;6;0;0;1;1;0;1;2021-02-24T16:44:12.472Z;
0;0;0;0;1;0;1;0;2021-02-24T16:44:42.730Z;
0;9;0;0;1;0;1;0;2021-02-24T16:44:43.100Z;
0;0;0;0;1;0;1;0;2021-02-24T16:44:44.002Z;
6;0;0;0;1;0;1;0;2021-02-24T16:44:45.109Z;
6;0;0;0;1;0;1;0;2021-02-24T16:44:46.032Z;
6;0;0;0;1;0;1;0;2021-02-24T16:44:47.011Z;
6;0;0;0;1;0;1;0;2021-02-24T16:44:48.049Z;
0;0;0;0;1;1;0;1;2021-02-24T16:45:17.973Z;
0;0;13;0;1;1;0;1;2021-02-24T16:45:25.819Z;
0;6;0;0;1;1;0;1;2021-02-24T16:45:36.486Z;
0;0;6;0;1;1;0;1;2021-02-24T16:45:37.717Z;
0;0;6;0;1;1;0;1;2021-02-24T16:45:38.988Z;
0;0;0;0;1;1;0;1;2021-02-24T16:45:39.013Z;
0;0;6;0;1;1;0;1;2021-02-24T16:45:48.391Z;
0;6;0;0;1;1;0;1;2021-02-24T16:45:51.325Z;
0;6;0;0;1;1;0;1;2021-02-24T16:46:00.630Z;
0;6;0;0;1;1;0;1;2021-02-24T16:46:03.032Z;
0;6;0;0;1;1;0;1;2021-02-24T16:46:05.958Z;
0;0;0;0;1;1;0;1;2021-02-24T16:46:06.095Z;
0;6;0;0;1;1;0;1;2021-02-24T16:46:08.227Z;
0;0;6;0;1;1;0;1;2021-02-24T16:46:11.620Z;
0;0;0;9;1;1;0;1;2021-02-24T16:46:19.890Z;
0;0;0;0;1;1;0;1;2021-02-24T16:46:20.103Z;
0;0;6;0;1;1;0;1;2021-02-24T16:46:21.576Z;
0;0;6;0;1;1;0;1;2021-02-24T16:46:35.549Z;
0;0;9;0;1;1;0;1;2021-02-24T16:46:40.417Z;
0;0;6;0;1;1;0;1;2021-02-24T16:46:43.920Z;
0;0;0;0;1;1;0;1;2021-02-24T16:46:44.104Z;
0;0;6;0;1;1;0;1;2021-02-24T16:46:47.053Z;
