input0;input1;input2;input3;input4;input5;input6;input7;ts;
0;0;1;1;1;6;0;0;2021-02-24T16:44:36.300Z;
0;0;1;1;1;0;0;6;2021-02-24T16:44:53.893Z;
0;0;1;1;0;0;0;0;2021-02-24T16:45:32.521Z;
1;0;0;1;1;0;0;0;2021-02-24T16:45:50.514Z;
0;1;0;1;1;0;0;0;2021-02-24T16:45:59.486Z;
0;0;1;1;1;0;0;0;2021-02-24T16:46:00.503Z;
0;0;1;1;1;0;0;9;2021-02-24T16:46:13.636Z;
0;0;1;1;1;9;0;0;2021-02-24T16:46:20.374Z;
0;0;1;1;1;6;0;0;2021-02-24T16:46:26.995Z;
0;0;1;1;1;0;0;0;2021-02-24T16:46:27.020Z;
0;0;1;1;1;9;0;0;2021-02-24T16:46:35.411Z;
