input0;input1;input2;input3;input4;input5;input6;input7;ts;
1;1629;1;0;0;1;1;1;2021-02-24T16:44:13.057Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:44:14.004Z;
1;1629;1;0;0;1;1;1;2021-02-24T16:44:15.017Z;
1;1629;1;0;0;1;1;1;2021-02-24T16:44:16.007Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:44:17.004Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:44:18.051Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:44:19.000Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:44:20.004Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:44:21.025Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:44:22.006Z;
1;1629;1;0;0;1;1;1;2021-02-24T16:44:23.009Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:44:24.005Z;
1;1629;1;0;0;1;1;1;2021-02-24T16:44:25.007Z;
1;1629;1;0;0;1;1;1;2021-02-24T16:44:26.001Z;
1;1629;1;0;0;1;1;1;2021-02-24T16:44:27.028Z;
1;1629;1;0;0;1;1;1;2021-02-24T16:44:28.009Z;
1;1629;1;0;0;1;1;1;2021-02-24T16:44:29.022Z;
1;1629;1;0;0;1;1;1;2021-02-24T16:44:30.019Z;
1;1629;1;0;0;1;1;1;2021-02-24T16:44:31.032Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:44:32.001Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:44:33.076Z;
1;1636;1;0;0;1;1;1;2021-02-24T16:44:34.065Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:44:35.023Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:44:36.011Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:44:37.090Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:44:38.018Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:44:39.030Z;
1;1629;1;0;0;1;1;1;2021-02-24T16:44:40.000Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:44:41.260Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:44:42.009Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:44:43.070Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:44:44.039Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:44:45.002Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:44:46.000Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:44:47.006Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:44:48.000Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:44:49.049Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:44:50.005Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:44:51.004Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:44:52.004Z;
1;1689;1;0;0;1;1;1;2021-02-24T16:44:53.008Z;
1;1638;1;0;0;1;1;1;2021-02-24T16:44:54.023Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:44:55.002Z;
1;1629;1;0;0;1;1;1;2021-02-24T16:44:56.004Z;
1;1629;1;0;0;1;1;1;2021-02-24T16:44:57.008Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:44:58.021Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:44:59.001Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:45:00.021Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:45:01.013Z;
1;1629;1;0;0;1;1;1;2021-02-24T16:45:02.002Z;
1;1636;1;0;6;1;1;1;2021-02-24T16:45:03.007Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:45:04.162Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:45:05.013Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:45:06.005Z;
1;1629;1;0;0;1;1;1;2021-02-24T16:45:07.026Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:45:08.007Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:45:09.007Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:45:10.009Z;
1;1629;1;0;0;1;1;1;2021-02-24T16:45:11.008Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:45:12.083Z;
1;1636;1;0;0;1;1;1;2021-02-24T16:45:13.015Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:45:14.005Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:45:15.012Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:45:16.004Z;
1;1636;1;0;0;1;1;1;2021-02-24T16:45:17.016Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:45:18.047Z;
