input0;input1;input2;input3;input4;input5;input6;input7;ts;
1;1;1;0;0;0;1;1794;2021-02-24T16:44:12.599Z;
1;1;1;0;0;0;1;1796;2021-02-24T16:44:13.242Z;
1;1;1;0;0;0;1;1796;2021-02-24T16:44:14.047Z;
1;1;1;0;0;0;1;1798;2021-02-24T16:44:15.265Z;
0;0;0;0;0;0;1;1798;2021-02-24T16:44:28.121Z;
0;0;0;0;0;0;1;1796;2021-02-24T16:44:29.015Z;
0;0;0;0;0;0;1;1798;2021-02-24T16:44:30.004Z;
0;0;0;0;0;0;1;1798;2021-02-24T16:44:31.022Z;
0;0;0;0;0;0;1;1796;2021-02-24T16:44:32.003Z;
0;0;0;0;0;0;1;1798;2021-02-24T16:44:33.016Z;
0;0;0;0;0;0;1;1794;2021-02-24T16:44:34.018Z;
0;0;0;0;0;0;1;1796;2021-02-24T16:44:35.037Z;
0;0;0;0;0;0;1;1801;2021-02-24T16:44:36.011Z;
0;0;0;0;0;0;1;1798;2021-02-24T16:44:37.013Z;
0;0;0;0;0;0;1;1796;2021-02-24T16:44:38.013Z;
0;0;0;0;0;0;1;1801;2021-02-24T16:44:39.029Z;
0;0;0;0;0;0;1;1796;2021-02-24T16:44:40.013Z;
0;0;0;0;0;0;1;1801;2021-02-24T16:44:41.001Z;
0;0;0;0;0;0;1;1798;2021-02-24T16:44:42.004Z;
0;1;1;0;0;0;1;1798;2021-02-24T16:44:48.162Z;
1;1;1;0;0;0;1;1808;2021-02-24T16:45:15.331Z;
1;1;1;0;0;0;1;1810;2021-02-24T16:45:16.574Z;
1;1;1;0;0;0;1;1808;2021-02-24T16:45:17.386Z;
1;1;1;0;0;0;1;1812;2021-02-24T16:45:18.096Z;
1;1;1;0;0;0;1;1817;2021-02-24T16:45:19.343Z;
1;1;1;0;0;0;1;1810;2021-02-24T16:45:20.162Z;
1;1;1;0;0;0;1;1803;2021-02-24T16:45:22.928Z;
1;1;1;0;0;0;1;1805;2021-02-24T16:45:23.909Z;
1;1;1;0;0;0;1;1801;2021-02-24T16:45:25.265Z;
1;1;1;0;0;0;1;1803;2021-02-24T16:45:26.123Z;
1;1;1;0;0;0;1;1817;2021-02-24T16:45:27.509Z;
1;1;1;0;0;0;1;1808;2021-02-24T16:45:28.750Z;
1;1;1;0;0;0;1;1805;2021-02-24T16:45:29.394Z;
1;1;1;0;0;0;1;1805;2021-02-24T16:45:30.330Z;
1;1;1;0;0;0;1;1801;2021-02-24T16:45:31.313Z;
1;1;1;0;0;0;1;1805;2021-02-24T16:45:32.022Z;
1;1;1;0;0;0;1;1801;2021-02-24T16:45:33.733Z;
1;1;1;0;0;0;1;1803;2021-02-24T16:45:34.177Z;
1;1;1;0;0;0;1;1808;2021-02-24T16:45:35.564Z;
1;1;1;0;0;0;1;1801;2021-02-24T16:45:36.224Z;
1;1;1;0;0;0;1;1801;2021-02-24T16:45:37.028Z;
1;1;1;0;0;0;1;1803;2021-02-24T16:45:38.308Z;
1;1;1;0;0;0;1;1801;2021-02-24T16:45:40.280Z;
1;1;1;0;0;0;1;1812;2021-02-24T16:45:41.471Z;
1;1;1;0;0;0;1;1808;2021-02-24T16:45:42.033Z;
1;1;1;0;0;0;1;1815;2021-02-24T16:45:43.343Z;
1;1;1;0;0;0;1;1808;2021-02-24T16:45:44.227Z;
1;1;1;0;0;0;1;1808;2021-02-24T16:45:45.081Z;
1;1;1;0;0;0;1;1817;2021-02-24T16:45:46.468Z;
1;1;1;0;0;0;1;1817;2021-02-24T16:45:47.269Z;
1;1;1;0;0;0;1;1819;2021-02-24T16:45:48.268Z;
1;1;1;0;0;0;1;1815;2021-02-24T16:45:49.230Z;
1;1;1;0;0;0;1;1817;2021-02-24T16:45:50.438Z;
1;1;1;0;0;0;1;1815;2021-02-24T16:45:51.282Z;
1;1;1;0;0;0;1;1815;2021-02-24T16:45:52.078Z;
1;1;1;0;0;0;1;1803;2021-02-24T16:45:53.268Z;
1;1;1;0;0;0;1;1803;2021-02-24T16:45:54.065Z;
1;1;1;0;0;0;1;1805;2021-02-24T16:45:55.845Z;
1;1;1;0;0;0;1;1803;2021-02-24T16:45:56.368Z;
1;1;1;0;0;0;1;1805;2021-02-24T16:45:57.233Z;
1;1;1;0;0;0;1;1810;2021-02-24T16:45:58.173Z;
1;1;1;0;0;0;1;1803;2021-02-24T16:45:59.562Z;
1;1;1;0;0;0;1;1805;2021-02-24T16:46:00.001Z;
1;1;1;0;0;0;1;1803;2021-02-24T16:46:01.295Z;
1;1;1;0;0;0;1;1805;2021-02-24T16:46:02.094Z;
1;1;1;0;0;0;1;1803;2021-02-24T16:46:03.361Z;
1;1;1;0;0;0;1;1817;2021-02-24T16:46:04.158Z;
1;1;1;0;0;0;1;1822;2021-02-24T16:46:05.351Z;
1;1;1;0;0;0;1;1817;2021-02-24T16:46:06.352Z;
1;1;1;0;0;0;1;1819;2021-02-24T16:46:07.645Z;
1;1;1;0;0;0;1;1817;2021-02-24T16:46:08.084Z;
1;1;1;0;0;0;1;1819;2021-02-24T16:46:09.471Z;
1;1;1;0;0;0;1;1822;2021-02-24T16:46:10.268Z;
1;1;1;0;0;0;1;1822;2021-02-24T16:46:11.067Z;
0;0;0;0;0;0;1;1805;2021-02-24T16:46:18.020Z;
0;0;0;0;0;0;1;1815;2021-02-24T16:46:34.806Z;
1;1;1;0;0;0;1;1808;2021-02-24T16:46:51.461Z;
1;1;1;0;0;0;1;1808;2021-02-24T16:46:52.475Z;
1;1;1;0;0;0;1;1805;2021-02-24T16:46:54.574Z;
1;1;1;0;0;0;1;1808;2021-02-24T16:46:55.009Z;
