input0;input1;input2;input3;input4;input5;input6;input7;ts;
6;0;0;0;0;0;1;0;2021-02-24T16:47:37.273Z;
6;0;0;0;0;0;1;0;2021-02-24T16:47:38.010Z;
0;0;0;0;0;0;1;0;2021-02-24T16:47:39.002Z;
6;0;0;0;0;0;1;0;2021-02-24T16:47:40.002Z;
0;0;0;0;0;0;1;0;2021-02-24T16:47:41.000Z;
0;0;0;0;0;0;1;0;2021-02-24T16:47:42.021Z;
0;0;0;0;0;0;1;0;2021-02-24T16:47:43.048Z;
0;0;0;0;1;1;0;1;2021-02-24T16:48:17.839Z;
0;0;6;0;1;1;0;1;2021-02-24T16:48:27.170Z;
0;6;0;0;1;1;0;1;2021-02-24T16:48:31.236Z;
0;6;0;0;1;1;0;1;2021-02-24T16:48:39.418Z;
0;9;0;0;1;1;0;1;2021-02-24T16:48:43.567Z;
0;6;0;0;1;1;0;1;2021-02-24T16:48:50.295Z;
0;0;6;0;1;1;0;1;2021-02-24T16:48:57.364Z;
0;6;0;0;1;1;0;1;2021-02-24T16:49:00.949Z;
0;6;0;0;1;1;0;1;2021-02-24T16:49:04.050Z;
0;9;0;0;1;1;0;1;2021-02-24T16:49:05.329Z;
0;6;0;0;1;1;0;1;2021-02-24T16:49:09.477Z;
0;9;0;0;1;1;0;1;2021-02-24T16:49:23.945Z;
0;0;0;0;1;1;0;1;2021-02-24T16:49:24.129Z;
0;6;0;0;1;1;0;1;2021-02-24T16:49:26.526Z;
0;6;0;0;1;1;0;1;2021-02-24T16:49:28.168Z;
0;6;0;0;1;1;0;1;2021-02-24T16:49:29.255Z;
0;0;9;0;1;1;0;1;2021-02-24T16:49:30.451Z;
0;0;6;0;1;1;0;1;2021-02-24T16:49:38.942Z;
0;0;0;0;1;1;0;1;2021-02-24T16:49:39.030Z;
0;6;0;0;1;1;0;1;2021-02-24T16:49:45.705Z;
0;0;0;0;1;1;0;1;2021-02-24T16:49:46.007Z;
