input0;input1;input2;input3;input4;input5;input6;input7;ts;
1;1689;1;0;0;1;1;1;2021-02-24T16:47:01.008Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:47:02.005Z;
1;1629;1;0;0;1;1;1;2021-02-24T16:47:03.009Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:47:04.132Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:47:05.007Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:47:06.006Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:47:07.000Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:47:08.011Z;
1;1636;1;0;0;1;1;1;2021-02-24T16:47:09.032Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:47:10.094Z;
1;1629;1;0;0;1;1;1;2021-02-24T16:47:11.028Z;
1;1636;1;0;0;1;1;1;2021-02-24T16:47:12.003Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:47:13.034Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:47:14.008Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:47:15.010Z;
1;1636;1;0;0;1;1;1;2021-02-24T16:47:16.153Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:47:17.008Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:47:18.026Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:47:19.005Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:47:20.043Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:47:21.002Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:47:22.021Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:47:23.043Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:47:24.000Z;
1;1636;1;0;0;1;1;1;2021-02-24T16:47:25.081Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:47:26.028Z;
1;1629;1;0;0;1;1;1;2021-02-24T16:47:27.014Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:47:28.001Z;
