input0;input1;input2;input3;input4;input5;input6;input7;ts;
1;1;1;0;0;0;1;1808;2021-02-24T16:47:01.126Z;
1;1;1;0;0;0;1;1812;2021-02-24T16:47:02.903Z;
1;1;1;0;0;0;1;1808;2021-02-24T16:47:03.314Z;
0;0;0;0;0;0;1;1812;2021-02-24T16:47:15.292Z;
0;0;0;0;0;0;1;1815;2021-02-24T16:47:16.005Z;
0;0;0;0;0;0;1;1810;2021-02-24T16:47:17.043Z;
0;0;0;0;0;0;1;1815;2021-02-24T16:47:18.006Z;
0;0;0;0;0;0;1;1808;2021-02-24T16:47:19.002Z;
0;0;0;0;0;0;1;1812;2021-02-24T16:47:20.021Z;
0;0;0;0;0;0;1;1810;2021-02-24T16:47:21.011Z;
0;0;0;0;0;0;1;1812;2021-02-24T16:47:22.001Z;
0;0;0;0;0;0;1;1810;2021-02-24T16:47:23.003Z;
0;0;0;0;0;0;1;1812;2021-02-24T16:47:24.025Z;
0;0;0;0;0;0;1;1812;2021-02-24T16:47:25.009Z;
0;0;0;0;0;0;1;1794;2021-02-24T16:47:26.016Z;
0;0;0;0;0;0;1;1810;2021-02-24T16:47:27.003Z;
0;0;0;0;0;0;1;1810;2021-02-24T16:47:28.004Z;
0;0;0;0;0;0;1;1796;2021-02-24T16:47:29.026Z;
0;0;0;0;0;0;1;1810;2021-02-24T16:47:30.005Z;
0;0;0;0;0;0;1;1808;2021-02-24T16:47:31.014Z;
0;0;0;0;0;0;1;1812;2021-02-24T16:47:32.050Z;
0;0;0;0;0;0;1;1815;2021-02-24T16:47:33.015Z;
0;0;0;0;0;0;1;1808;2021-02-24T16:47:34.011Z;
0;0;0;0;0;0;1;1812;2021-02-24T16:47:35.027Z;
0;0;0;0;0;0;1;1812;2021-02-24T16:47:36.001Z;
0;0;0;0;0;0;1;1810;2021-02-24T16:47:37.000Z;
0;1;1;0;0;0;1;1812;2021-02-24T16:47:43.044Z;
1;1;1;0;0;0;1;1815;2021-02-24T16:48:09.490Z;
1;1;1;0;0;0;1;1812;2021-02-24T16:48:11.180Z;
1;1;1;0;0;0;1;1812;2021-02-24T16:48:12.369Z;
1;1;1;0;0;0;1;1812;2021-02-24T16:48:13.205Z;
1;1;1;0;0;0;1;1815;2021-02-24T16:48:14.983Z;
1;1;1;0;0;0;1;1812;2021-02-24T16:48:15.392Z;
1;1;1;0;0;0;1;1815;2021-02-24T16:48:16.428Z;
1;1;1;0;0;0;1;1812;2021-02-24T16:48:17.619Z;
1;1;1;0;0;0;1;1815;2021-02-24T16:48:19.015Z;
1;1;1;0;0;0;1;1817;2021-02-24T16:48:24.387Z;
1;1;1;0;0;0;1;1812;2021-02-24T16:48:25.225Z;
1;1;1;0;0;0;1;1815;2021-02-24T16:48:26.104Z;
1;1;1;0;0;0;1;1815;2021-02-24T16:48:27.330Z;
1;1;1;0;0;0;1;1817;2021-02-24T16:48:28.192Z;
1;1;1;0;0;0;1;1815;2021-02-24T16:48:29.579Z;
1;1;1;0;0;0;1;1817;2021-02-24T16:48:31.311Z;
1;1;1;0;0;0;1;1815;2021-02-24T16:48:32.067Z;
1;1;1;0;0;0;1;1817;2021-02-24T16:48:35.212Z;
1;1;1;0;0;0;1;1812;2021-02-24T16:48:36.599Z;
1;1;1;0;0;0;1;1817;2021-02-24T16:48:37.143Z;
1;1;1;0;0;0;1;1819;2021-02-24T16:48:38.752Z;
1;1;1;0;0;0;1;1817;2021-02-24T16:48:39.291Z;
1;1;1;0;0;0;1;1819;2021-02-24T16:48:40.884Z;
1;1;1;0;0;0;1;1822;2021-02-24T16:48:41.333Z;
1;1;1;0;0;0;1;1822;2021-02-24T16:48:42.525Z;
1;1;1;0;0;0;1;1819;2021-02-24T16:48:43.355Z;
1;1;1;0;0;0;1;1822;2021-02-24T16:48:44.545Z;
1;1;1;0;0;0;1;1822;2021-02-24T16:48:45.341Z;
1;1;1;0;0;0;1;1819;2021-02-24T16:48:46.139Z;
1;1;1;0;0;0;1;1817;2021-02-24T16:48:47.327Z;
1;1;1;0;0;0;1;1817;2021-02-24T16:48:48.907Z;
1;1;1;0;0;0;1;1815;2021-02-24T16:48:49.568Z;
1;1;1;0;0;0;1;1817;2021-02-24T16:48:50.489Z;
1;1;1;0;0;0;1;1815;2021-02-24T16:48:51.053Z;
1;1;1;0;0;0;1;1815;2021-02-24T16:48:52.683Z;
1;1;1;0;0;0;1;1817;2021-02-24T16:48:53.203Z;
1;1;1;0;0;0;1;1815;2021-02-24T16:48:54.589Z;
1;1;1;0;0;0;1;1812;2021-02-24T16:48:56.197Z;
1;1;1;0;0;0;1;1815;2021-02-24T16:48:57.358Z;
1;1;1;0;0;0;1;1819;2021-02-24T16:48:58.158Z;
1;1;1;0;0;0;1;1815;2021-02-24T16:48:59.351Z;
1;1;1;0;0;0;1;1817;2021-02-24T16:49:00.193Z;
1;1;1;0;0;0;1;1817;2021-02-24T16:49:01.382Z;
1;1;1;0;0;0;1;1817;2021-02-24T16:49:02.715Z;
1;1;1;0;0;0;1;1812;2021-02-24T16:49:03.146Z;
1;1;1;0;0;0;1;1815;2021-02-24T16:49:04.532Z;
0;0;0;0;0;0;1;1817;2021-02-24T16:49:12.961Z;
0;0;0;0;0;0;1;1822;2021-02-24T16:49:29.931Z;
1;1;1;0;0;0;1;1822;2021-02-24T16:49:46.432Z;
1;1;1;0;0;0;1;1819;2021-02-24T16:49:47.460Z;
