input0;input1;input2;input3;input4;input5;input6;input7;ts;
0;6;0;0;1;1;0;1;2021-02-24T16:50:04.073Z;
0;0;6;0;1;1;0;1;2021-02-24T16:50:06.437Z;
0;0;6;0;1;1;0;1;2021-02-24T16:50:07.410Z;
0;0;0;0;0;0;1;0;2021-02-24T16:50:34.921Z;
0;0;0;0;0;0;1;0;2021-02-24T16:50:35.003Z;
0;0;0;0;0;0;1;0;2021-02-24T16:50:36.009Z;
6;0;0;0;0;0;1;0;2021-02-24T16:50:37.009Z;
6;0;0;0;0;0;1;0;2021-02-24T16:50:38.020Z;
6;0;0;0;0;0;1;0;2021-02-24T16:50:39.009Z;
0;0;0;0;0;0;1;0;2021-02-24T16:50:40.008Z;
0;0;0;0;1;1;0;1;2021-02-24T16:51:08.233Z;
0;0;9;0;1;1;0;1;2021-02-24T16:51:11.956Z;
0;9;0;0;1;1;0;1;2021-02-24T16:51:13.301Z;
0;0;9;0;1;1;0;1;2021-02-24T16:51:19.699Z;
0;0;6;0;1;1;0;1;2021-02-24T16:51:20.585Z;
0;6;0;0;1;1;0;1;2021-02-24T16:51:21.044Z;
0;6;0;0;1;1;0;1;2021-02-24T16:51:22.681Z;
0;0;0;6;1;1;0;1;2021-02-24T16:51:33.378Z;
0;0;6;0;1;1;0;1;2021-02-24T16:51:36.888Z;
0;6;0;0;1;1;0;1;2021-02-24T16:51:37.723Z;
0;0;6;0;1;1;0;1;2021-02-24T16:51:40.333Z;
0;6;0;0;1;1;0;1;2021-02-24T16:51:46.954Z;
0;0;0;0;1;1;0;1;2021-02-24T16:51:47.220Z;
0;0;0;9;1;1;0;1;2021-02-24T16:51:48.404Z;
0;13;0;0;1;1;0;1;2021-02-24T16:52:01.983Z;
0;0;0;0;1;1;0;1;2021-02-24T16:52:02.168Z;
0;6;0;0;1;1;0;1;2021-02-24T16:52:11.515Z;
0;6;0;0;1;1;0;1;2021-02-24T16:52:26.920Z;
0;6;0;0;1;1;0;1;2021-02-24T16:52:30.775Z;
0;6;0;0;1;1;0;1;2021-02-24T16:52:34.627Z;
0;0;6;0;1;1;0;1;2021-02-24T16:52:36.142Z;
0;0;6;0;1;1;0;1;2021-02-24T16:52:41.572Z;
0;6;0;0;1;1;0;1;2021-02-24T16:52:44.509Z;
