input0;input1;input2;input3;input4;input5;input6;input7;ts;
0;0;1;1;1;0;6;0;2021-02-24T16:50:08.497Z;
0;0;1;1;1;0;6;0;2021-02-24T16:50:27.454Z;
0;0;1;1;1;11;0;0;2021-02-24T16:50:30.825Z;
0;0;1;1;1;0;0;0;2021-02-24T16:50:31.031Z;
0;0;1;1;0;0;0;0;2021-02-24T16:51:24.185Z;
1;0;0;1;1;0;0;0;2021-02-24T16:51:42.221Z;
0;1;0;1;1;0;0;0;2021-02-24T16:51:51.066Z;
0;0;1;1;1;0;0;0;2021-02-24T16:51:52.109Z;
0;0;1;1;1;0;6;0;2021-02-24T16:52:01.888Z;
0;0;1;1;1;6;0;0;2021-02-24T16:52:20.288Z;
0;0;1;1;1;0;9;0;2021-02-24T16:52:23.091Z;
0;0;1;1;1;9;0;0;2021-02-24T16:52:40.477Z;
0;0;1;1;1;6;0;0;2021-02-24T16:52:44.626Z;
