input0;input1;input2;input3;input4;input5;input6;input7;ts;
1;1629;1;0;0;1;1;1;2021-02-24T16:50:04.015Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:50:05.005Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:50:06.004Z;
1;1629;1;0;0;1;1;1;2021-02-24T16:50:07.133Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:50:08.008Z;
1;1629;1;0;0;1;1;1;2021-02-24T16:50:09.012Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:50:10.000Z;
1;1629;1;0;0;1;1;1;2021-02-24T16:50:11.008Z;
1;1629;1;0;0;1;1;1;2021-02-24T16:50:12.005Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:50:13.015Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:50:14.008Z;
1;1636;1;0;0;1;1;1;2021-02-24T16:50:15.007Z;
1;1636;1;0;0;1;1;1;2021-02-24T16:50:16.005Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:50:17.007Z;
1;1636;1;0;0;1;1;1;2021-02-24T16:50:18.005Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:50:19.019Z;
1;1636;1;0;0;1;1;1;2021-02-24T16:50:20.018Z;
1;1636;1;0;0;1;1;1;2021-02-24T16:50:21.021Z;
1;1636;1;0;0;1;1;1;2021-02-24T16:50:22.002Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:50:23.002Z;
1;1636;1;0;0;1;1;1;2021-02-24T16:50:24.008Z;
1;1636;1;0;0;1;1;1;2021-02-24T16:50:25.016Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:50:26.007Z;
1;1636;1;0;0;1;1;1;2021-02-24T16:50:27.065Z;
1;1636;1;0;0;1;1;1;2021-02-24T16:50:28.035Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:50:29.006Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:50:30.008Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:50:31.029Z;
1;1629;1;0;0;1;1;1;2021-02-24T16:50:32.025Z;
1;1636;1;0;0;1;1;1;2021-02-24T16:50:33.025Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:50:34.003Z;
1;1636;1;0;0;1;1;1;2021-02-24T16:50:35.057Z;
1;1636;1;0;0;1;1;1;2021-02-24T16:50:36.008Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:50:37.007Z;
1;1629;1;0;0;1;1;1;2021-02-24T16:50:38.029Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:50:39.031Z;
1;1633;1;0;6;1;1;1;2021-02-24T16:50:40.008Z;
1;1636;1;0;0;1;1;1;2021-02-24T16:50:41.037Z;
1;1636;1;0;0;1;1;1;2021-02-24T16:50:42.008Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:50:43.028Z;
1;1636;1;0;0;1;1;1;2021-02-24T16:50:44.032Z;
1;1629;1;0;0;1;1;1;2021-02-24T16:50:45.010Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:50:46.010Z;
1;1629;1;0;0;1;1;1;2021-02-24T16:50:47.004Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:50:48.004Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:50:49.000Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:50:50.062Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:50:51.001Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:50:52.038Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:50:53.004Z;
1;1629;1;0;0;1;1;1;2021-02-24T16:50:54.002Z;
1;1629;1;0;0;1;1;1;2021-02-24T16:50:55.024Z;
1;1638;1;0;0;1;1;1;2021-02-24T16:50:56.001Z;
1;1629;1;0;0;1;1;1;2021-02-24T16:50:57.032Z;
1;1636;1;0;0;1;1;1;2021-02-24T16:50:58.093Z;
1;1629;1;0;0;1;1;1;2021-02-24T16:50:59.015Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:51:00.002Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:51:01.053Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:51:02.007Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:51:03.001Z;
1;1617;1;0;0;1;1;1;2021-02-24T16:51:04.002Z;
1;1615;1;0;0;1;1;1;2021-02-24T16:51:05.020Z;
1;1619;1;0;0;1;1;1;2021-02-24T16:51:06.000Z;
1;1619;1;0;0;1;1;1;2021-02-24T16:51:07.018Z;
1;1615;1;0;0;1;1;1;2021-02-24T16:51:08.004Z;
1;1615;1;0;0;1;1;1;2021-02-24T16:51:09.007Z;
1;1615;1;0;0;1;1;1;2021-02-24T16:51:10.004Z;
1;1615;1;0;0;1;1;1;2021-02-24T16:51:11.002Z;
1;1619;1;0;0;1;1;1;2021-02-24T16:51:12.009Z;
1;1615;1;0;0;1;1;1;2021-02-24T16:51:13.009Z;
1;1617;1;0;0;1;1;1;2021-02-24T16:51:14.031Z;
1;1617;1;0;0;1;1;1;2021-02-24T16:51:15.010Z;
1;1617;1;0;0;1;1;1;2021-02-24T16:51:16.008Z;
1;1615;1;0;0;1;1;1;2021-02-24T16:51:17.004Z;
1;1619;1;0;0;1;1;1;2021-02-24T16:51:18.028Z;
1;1615;1;0;0;1;1;1;2021-02-24T16:51:19.000Z;
1;1615;1;0;0;1;1;1;2021-02-24T16:51:20.032Z;
1;1622;1;0;0;1;1;1;2021-02-24T16:51:21.023Z;
1;1619;1;0;0;1;1;1;2021-02-24T16:51:22.012Z;
1;1615;1;0;0;1;1;1;2021-02-24T16:51:23.005Z;
1;1622;1;0;0;1;1;1;2021-02-24T16:51:24.002Z;
1;1619;1;0;0;1;1;1;2021-02-24T16:51:25.008Z;
1;1617;1;0;0;1;1;1;2021-02-24T16:51:26.009Z;
1;1622;1;0;0;1;1;1;2021-02-24T16:51:27.002Z;
1;1617;1;0;0;1;1;1;2021-02-24T16:51:28.117Z;
1;1617;1;0;0;1;1;1;2021-02-24T16:51:29.002Z;
1;1615;1;0;0;1;1;1;2021-02-24T16:51:30.003Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:51:31.001Z;
1;1615;1;0;0;1;1;1;2021-02-24T16:51:32.000Z;
1;1615;1;0;0;1;1;1;2021-02-24T16:51:33.002Z;
1;1622;1;0;0;1;1;1;2021-02-24T16:51:34.002Z;
1;1617;1;0;0;1;1;1;2021-02-24T16:51:35.004Z;
1;1622;1;0;0;1;1;1;2021-02-24T16:51:36.008Z;
1;1619;1;0;0;1;1;1;2021-02-24T16:51:37.007Z;
1;1619;1;0;0;1;1;1;2021-02-24T16:51:38.008Z;
1;1617;1;0;0;1;1;1;2021-02-24T16:51:39.001Z;
1;1617;1;0;0;1;1;1;2021-02-24T16:51:40.005Z;
1;1617;1;0;0;1;1;1;2021-02-24T16:51:41.008Z;
1;1617;1;0;0;1;1;1;2021-02-24T16:51:42.009Z;
1;1617;1;0;0;1;1;1;2021-02-24T16:51:43.020Z;
1;1617;1;0;0;1;1;1;2021-02-24T16:51:44.029Z;
1;1615;1;0;0;1;1;1;2021-02-24T16:51:45.004Z;
1;1615;1;0;0;1;1;1;2021-02-24T16:51:46.000Z;
1;1619;1;0;0;1;1;1;2021-02-24T16:51:47.002Z;
1;1617;1;0;0;1;1;1;2021-02-24T16:51:48.005Z;
1;1636;1;0;0;1;1;1;2021-02-24T16:51:49.034Z;
1;1636;1;0;0;1;1;1;2021-02-24T16:51:50.029Z;
1;1636;1;0;0;1;1;1;2021-02-24T16:51:51.008Z;
1;1636;1;0;0;1;1;1;2021-02-24T16:51:52.000Z;
1;1636;1;0;0;1;1;1;2021-02-24T16:51:53.002Z;
1;1636;1;0;0;1;1;1;2021-02-24T16:51:54.027Z;
0;1624;1;0;0;1;1;1;2021-02-24T16:51:55.043Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:51:56.004Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:51:57.005Z;
1;508;1;0;0;1;1;1;2021-02-24T16:51:58.007Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:51:59.042Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:52:00.003Z;
1;1629;1;0;0;1;1;1;2021-02-24T16:52:01.012Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:52:02.183Z;
1;1633;1;0;0;0;1;1;2021-02-24T16:52:03.812Z;
1;1633;1;0;0;0;1;1;2021-02-24T16:52:04.009Z;
1;1631;1;0;0;0;1;1;2021-02-24T16:52:05.029Z;
1;1636;1;0;0;0;1;1;2021-02-24T16:52:06.029Z;
1;1636;1;0;0;0;1;1;2021-02-24T16:52:07.110Z;
1;1633;1;0;0;0;1;1;2021-02-24T16:52:08.004Z;
1;1631;1;0;0;0;1;1;2021-02-24T16:52:09.018Z;
1;1636;1;0;0;0;1;1;2021-02-24T16:52:10.027Z;
1;1636;1;0;0;0;1;1;2021-02-24T16:52:11.057Z;
1;1636;1;0;0;0;1;1;2021-02-24T16:52:12.009Z;
1;1633;1;0;0;0;1;1;2021-02-24T16:52:13.006Z;
1;1636;1;0;0;1;1;1;2021-02-24T16:52:14.026Z;
1;1636;1;0;0;1;1;1;2021-02-24T16:52:15.016Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:52:16.000Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:52:17.024Z;
1;1636;1;0;0;1;1;1;2021-02-24T16:52:18.026Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:52:19.017Z;
1;1636;1;0;0;1;1;1;2021-02-24T16:52:20.140Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:52:21.009Z;
1;1636;1;0;0;1;1;1;2021-02-24T16:52:22.062Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:52:23.006Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:52:24.003Z;
1;1636;1;0;0;1;1;1;2021-02-24T16:52:25.005Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:52:26.000Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:52:27.006Z;
1;1636;1;0;0;1;1;1;2021-02-24T16:52:28.007Z;
1;1636;1;0;0;1;1;1;2021-02-24T16:52:29.005Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:52:30.002Z;
1;1636;1;0;0;1;1;1;2021-02-24T16:52:31.023Z;
1;1636;1;0;0;1;1;1;2021-02-24T16:52:32.047Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:52:33.002Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:52:34.021Z;
1;1636;1;0;0;1;1;1;2021-02-24T16:52:35.022Z;
1;1636;1;0;0;1;1;1;2021-02-24T16:52:36.017Z;
1;1636;1;0;0;1;1;1;2021-02-24T16:52:37.055Z;
1;1636;1;0;0;1;1;1;2021-02-24T16:52:38.006Z;
1;1636;1;0;0;1;1;1;2021-02-24T16:52:39.016Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:52:40.029Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:52:41.000Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:52:42.010Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:52:43.002Z;
1;1636;1;0;0;1;1;1;2021-02-24T16:52:44.021Z;
1;1636;1;0;0;1;1;1;2021-02-24T16:52:45.003Z;
1;1636;1;0;0;1;1;1;2021-02-24T16:52:46.018Z;
