input0;input1;input2;input3;input4;input5;input6;input7;ts;
1;1;1;0;0;0;1;1817;2021-02-24T16:50:05.062Z;
1;1;1;0;0;0;1;1826;2021-02-24T16:50:06.252Z;
1;1;1;0;0;0;1;1819;2021-02-24T16:50:07.188Z;
1;1;1;0;0;0;1;1826;2021-02-24T16:50:08.574Z;
0;0;0;0;0;0;1;1822;2021-02-24T16:50:20.844Z;
0;0;0;0;0;0;1;1824;2021-02-24T16:50:21.041Z;
0;0;0;0;0;0;1;1824;2021-02-24T16:50:22.032Z;
0;0;0;0;0;0;1;1822;2021-02-24T16:50:23.035Z;
0;0;0;0;0;0;1;1824;2021-02-24T16:50:24.000Z;
0;0;0;0;0;0;1;1824;2021-02-24T16:50:25.001Z;
0;0;0;0;0;0;1;1822;2021-02-24T16:50:26.006Z;
0;0;0;0;0;0;1;1822;2021-02-24T16:50:27.001Z;
0;0;0;0;0;0;1;1826;2021-02-24T16:50:28.012Z;
0;0;0;0;0;0;1;1822;2021-02-24T16:50:29.080Z;
0;0;0;0;0;0;1;1824;2021-02-24T16:50:30.009Z;
0;0;0;0;0;0;1;1824;2021-02-24T16:50:31.009Z;
0;0;0;0;0;0;1;1826;2021-02-24T16:50:32.046Z;
0;0;0;0;0;0;1;1824;2021-02-24T16:50:33.006Z;
0;0;0;0;0;0;1;1826;2021-02-24T16:50:34.006Z;
0;1;1;0;0;0;1;1824;2021-02-24T16:50:40.599Z;
1;1;1;0;0;0;1;1826;2021-02-24T16:51:07.156Z;
1;1;1;0;0;0;1;1822;2021-02-24T16:51:08.442Z;
1;1;1;0;0;0;1;1826;2021-02-24T16:51:09.634Z;
1;1;1;0;0;0;1;1824;2021-02-24T16:51:11.987Z;
1;1;1;0;0;0;1;1822;2021-02-24T16:51:12.396Z;
1;1;1;0;0;0;1;1826;2021-02-24T16:51:13.414Z;
1;1;1;0;0;0;1;1822;2021-02-24T16:51:14.209Z;
1;1;1;0;0;0;1;1828;2021-02-24T16:51:15.987Z;
1;1;1;0;0;0;1;1826;2021-02-24T16:51:17.374Z;
1;1;1;0;0;0;1;1828;2021-02-24T16:51:18.183Z;
1;1;1;0;0;0;1;1824;2021-02-24T16:51:19.372Z;
1;1;1;0;0;0;1;1826;2021-02-24T16:51:20.263Z;
1;1;1;0;0;0;1;1828;2021-02-24T16:51:21.063Z;
1;1;1;0;0;0;1;1831;2021-02-24T16:51:22.449Z;
1;1;1;0;0;0;1;1824;2021-02-24T16:51:23.701Z;
1;1;1;0;0;0;1;1826;2021-02-24T16:51:24.646Z;
1;1;1;0;0;0;1;1824;2021-02-24T16:51:25.072Z;
1;1;1;0;0;0;1;1833;2021-02-24T16:51:26.459Z;
1;1;1;0;0;0;1;1826;2021-02-24T16:51:27.117Z;
1;1;1;0;0;0;1;1824;2021-02-24T16:51:28.708Z;
1;1;1;0;0;0;1;1826;2021-02-24T16:51:29.201Z;
1;1;1;0;0;0;1;1828;2021-02-24T16:51:30.978Z;
1;1;1;0;0;0;1;1826;2021-02-24T16:51:31.481Z;
1;1;1;0;0;0;1;1833;2021-02-24T16:51:32.014Z;
1;1;1;0;0;0;1;1833;2021-02-24T16:51:33.203Z;
1;1;1;0;0;0;1;1842;2021-02-24T16:51:34.577Z;
1;1;1;0;0;0;1;1838;2021-02-24T16:51:35.469Z;
1;1;1;0;0;0;1;1835;2021-02-24T16:51:36.267Z;
1;1;1;0;0;0;1;1835;2021-02-24T16:51:37.935Z;
1;1;1;0;0;0;1;1838;2021-02-24T16:51:39.662Z;
1;1;1;0;0;0;1;1835;2021-02-24T16:51:40.510Z;
1;1;1;0;0;0;1;1840;2021-02-24T16:51:43.029Z;
1;1;1;0;0;0;1;1828;2021-02-24T16:51:44.290Z;
1;1;1;0;0;0;1;1826;2021-02-24T16:51:46.143Z;
1;1;1;0;0;0;1;1831;2021-02-24T16:51:47.529Z;
1;1;1;0;0;0;1;1826;2021-02-24T16:51:48.326Z;
1;1;1;0;0;0;1;1824;2021-02-24T16:51:49.143Z;
1;1;1;0;0;0;1;1826;2021-02-24T16:51:50.384Z;
1;1;1;0;0;0;1;1831;2021-02-24T16:51:51.741Z;
1;1;1;0;0;0;1;1828;2021-02-24T16:51:52.591Z;
1;1;1;0;0;0;1;1828;2021-02-24T16:51:53.782Z;
1;1;1;0;0;0;1;1826;2021-02-24T16:51:54.422Z;
1;1;1;0;0;0;1;1833;2021-02-24T16:51:55.329Z;
1;1;1;0;0;0;1;1842;2021-02-24T16:51:56.271Z;
1;1;1;0;0;0;1;1831;2021-02-24T16:51:57.070Z;
1;1;1;0;0;0;1;1833;2021-02-24T16:51:58.260Z;
1;1;1;0;0;0;1;1833;2021-02-24T16:51:59.139Z;
1;1;1;0;0;0;1;1840;2021-02-24T16:52:00.331Z;
1;1;1;0;0;0;1;1840;2021-02-24T16:52:01.288Z;
1;1;1;0;0;0;1;1838;2021-02-24T16:52:02.387Z;
0;0;0;0;0;0;1;1826;2021-02-24T16:52:10.823Z;
0;0;0;0;0;0;1;1840;2021-02-24T16:52:27.517Z;
1;1;1;0;0;0;1;1840;2021-02-24T16:52:44.133Z;
1;1;1;0;0;0;1;1835;2021-02-24T16:52:45.017Z;
1;1;1;0;0;0;1;1838;2021-02-24T16:52:46.655Z;
