input0;input1;input2;input3;input4;input5;input6;input7;ts;
0;0;0;0;0;0;1;0;2021-02-24T16:53:48.197Z;
0;0;0;0;0;0;1;0;2021-02-24T16:53:49.074Z;
6;0;0;0;0;0;1;0;2021-02-24T16:53:50.006Z;
0;0;0;0;0;0;1;0;2021-02-24T16:53:51.020Z;
0;0;0;0;0;0;1;0;2021-02-24T16:53:52.002Z;
6;0;0;0;0;0;1;0;2021-02-24T16:53:53.024Z;
0;0;0;0;1;1;0;1;2021-02-24T16:54:29.039Z;
0;0;0;9;1;1;0;1;2021-02-24T16:54:33.173Z;
0;0;6;0;1;1;0;1;2021-02-24T16:54:38.529Z;
0;6;0;0;1;1;0;1;2021-02-24T16:54:45.133Z;
0;6;0;0;1;1;0;1;2021-02-24T16:54:48.324Z;
0;0;9;0;1;1;0;1;2021-02-24T16:54:49.548Z;
0;0;6;0;1;1;0;1;2021-02-24T16:54:55.197Z;
0;0;6;0;1;1;0;1;2021-02-24T16:55:05.136Z;
0;9;0;0;1;1;0;1;2021-02-24T16:55:07.494Z;
0;0;6;0;1;1;0;1;2021-02-24T16:55:13.136Z;
0;6;0;0;1;1;0;1;2021-02-24T16:55:15.792Z;
0;0;0;9;1;1;0;1;2021-02-24T16:55:20.384Z;
0;0;6;0;1;1;0;1;2021-02-24T16:55:38.785Z;
0;0;6;0;1;1;0;1;2021-02-24T16:55:41.323Z;
0;6;0;0;1;1;0;1;2021-02-24T16:55:46.859Z;
