input0;input1;input2;input3;input4;input5;input6;input7;ts;
0;0;1;1;1;0;6;0;2021-02-24T16:53:12.331Z;
0;0;1;1;1;9;0;0;2021-02-24T16:53:33.869Z;
0;0;1;1;0;0;0;0;2021-02-24T16:54:37.830Z;
1;0;0;1;1;0;0;0;2021-02-24T16:54:55.826Z;
0;1;0;1;1;0;0;0;2021-02-24T16:55:04.731Z;
0;0;1;1;1;0;0;0;2021-02-24T16:55:05.855Z;
0;0;1;1;1;0;9;0;2021-02-24T16:55:13.348Z;
0;0;1;1;1;9;0;0;2021-02-24T16:55:17.504Z;
0;0;1;1;1;0;11;0;2021-02-24T16:55:19.178Z;
0;0;1;1;1;0;0;6;2021-02-24T16:55:52.480Z;
0;0;1;1;1;0;11;0;2021-02-24T16:55:57.422Z;
