input0;input1;input2;input3;input4;input5;input6;input7;ts;
1;1629;1;0;0;1;1;1;2021-02-24T16:53:12.017Z;
1;1636;1;0;0;1;1;1;2021-02-24T16:53:13.007Z;
1;1636;1;0;0;1;1;1;2021-02-24T16:53:14.004Z;
1;1636;1;0;0;1;1;1;2021-02-24T16:53:15.006Z;
1;1636;1;0;0;1;1;1;2021-02-24T16:53:16.005Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:53:17.009Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:53:18.001Z;
1;1636;1;0;0;1;1;1;2021-02-24T16:53:19.006Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:53:20.006Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:53:21.002Z;
1;1636;1;0;0;1;1;1;2021-02-24T16:53:22.003Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:53:23.002Z;
1;1636;1;0;0;1;1;1;2021-02-24T16:53:24.014Z;
1;1636;1;0;0;1;1;1;2021-02-24T16:53:25.012Z;
1;1636;1;0;0;1;1;1;2021-02-24T16:53:26.003Z;
1;1636;1;0;0;1;1;1;2021-02-24T16:53:27.016Z;
1;1636;1;0;0;1;1;1;2021-02-24T16:53:28.001Z;
1;1636;1;0;0;1;1;1;2021-02-24T16:53:29.043Z;
1;1689;1;0;0;1;1;1;2021-02-24T16:53:30.067Z;
1;1636;1;0;0;1;1;1;2021-02-24T16:53:31.004Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:53:32.014Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:53:33.028Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:53:34.007Z;
1;1636;1;0;0;1;1;1;2021-02-24T16:53:35.008Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:53:36.015Z;
1;1636;1;0;0;1;1;1;2021-02-24T16:53:37.070Z;
1;1636;1;0;0;1;1;1;2021-02-24T16:53:38.004Z;
1;1636;1;0;0;1;1;1;2021-02-24T16:53:39.024Z;
1;1636;1;0;0;1;1;1;2021-02-24T16:53:40.014Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:53:41.007Z;
1;1636;1;0;0;1;1;1;2021-02-24T16:53:42.027Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:53:43.006Z;
1;1636;1;0;0;1;1;1;2021-02-24T16:53:44.039Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:53:45.004Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:53:46.005Z;
1;1629;1;0;0;1;1;1;2021-02-24T16:53:47.046Z;
1;1629;1;0;0;1;1;1;2021-02-24T16:53:48.002Z;
1;1629;1;0;0;1;1;1;2021-02-24T16:53:49.011Z;
1;1636;1;0;0;1;1;1;2021-02-24T16:53:50.024Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:53:51.037Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:53:52.047Z;
1;1629;1;0;0;1;1;1;2021-02-24T16:53:53.011Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:53:54.009Z;
1;1629;1;0;0;1;1;1;2021-02-24T16:53:55.008Z;
1;1636;1;0;0;1;1;1;2021-02-24T16:53:56.000Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:53:57.008Z;
1;1636;1;0;0;1;1;1;2021-02-24T16:53:58.010Z;
1;1629;1;0;0;1;1;1;2021-02-24T16:53:59.007Z;
1;1636;1;0;0;1;1;1;2021-02-24T16:54:00.008Z;
1;1636;1;0;0;1;1;1;2021-02-24T16:54:01.000Z;
1;1636;1;0;0;1;1;1;2021-02-24T16:54:02.018Z;
1;1629;1;0;0;1;1;1;2021-02-24T16:54:03.000Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:54:04.006Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:54:05.006Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:54:06.010Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:54:07.004Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:54:08.008Z;
1;1629;1;0;0;1;1;1;2021-02-24T16:54:09.004Z;
1;1636;1;0;0;1;1;1;2021-02-24T16:54:10.022Z;
1;1629;1;0;0;1;1;1;2021-02-24T16:54:11.008Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:54:12.001Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:54:13.006Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:54:14.006Z;
1;1636;1;0;0;1;1;1;2021-02-24T16:54:15.016Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:54:16.005Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:54:17.004Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:54:18.009Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:54:19.005Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:54:20.046Z;
1;1636;1;0;0;1;1;1;2021-02-24T16:54:21.004Z;
1;1636;1;0;0;1;1;1;2021-02-24T16:54:22.004Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:54:23.004Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:54:24.015Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:54:25.026Z;
1;1636;1;0;0;1;1;1;2021-02-24T16:54:26.007Z;
1;1636;1;0;0;1;1;1;2021-02-24T16:54:27.029Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:54:28.108Z;
