input0;input1;input2;input3;input4;input5;input6;input7;ts;
1;1;1;0;0;0;1;1831;2021-02-24T16:53:12.443Z;
1;1;1;0;0;0;1;1831;2021-02-24T16:53:13.283Z;
1;1;1;0;0;0;1;1833;2021-02-24T16:53:14.141Z;
0;0;0;0;0;0;1;1833;2021-02-24T16:53:25.789Z;
0;0;0;0;0;0;1;1833;2021-02-24T16:53:26.009Z;
0;0;0;0;0;0;1;1835;2021-02-24T16:53:27.022Z;
0;0;0;0;0;0;1;1835;2021-02-24T16:53:28.054Z;
0;0;0;0;0;0;1;1828;2021-02-24T16:53:29.020Z;
0;0;0;0;0;0;1;1822;2021-02-24T16:53:30.005Z;
0;0;0;0;0;0;1;1826;2021-02-24T16:53:31.019Z;
0;0;0;0;0;0;1;1831;2021-02-24T16:53:32.007Z;
0;0;0;0;0;0;1;1831;2021-02-24T16:53:33.002Z;
0;0;0;0;0;0;1;1831;2021-02-24T16:53:34.001Z;
0;0;0;0;0;0;1;1831;2021-02-24T16:53:35.002Z;
0;0;0;0;0;0;1;1833;2021-02-24T16:53:36.004Z;
0;0;0;0;0;0;1;1833;2021-02-24T16:53:37.014Z;
0;0;0;0;0;0;1;1833;2021-02-24T16:53:38.018Z;
0;0;0;0;0;0;1;1835;2021-02-24T16:53:39.018Z;
0;0;0;0;0;0;1;1833;2021-02-24T16:53:40.010Z;
0;0;0;0;0;0;1;1833;2021-02-24T16:53:41.005Z;
0;0;0;0;0;0;1;1831;2021-02-24T16:53:42.054Z;
0;0;0;0;0;0;1;1833;2021-02-24T16:53:43.015Z;
0;0;0;0;0;0;1;1833;2021-02-24T16:53:44.012Z;
0;0;0;0;0;0;1;1831;2021-02-24T16:53:45.002Z;
0;0;0;0;0;0;1;1831;2021-02-24T16:53:46.040Z;
0;0;0;0;0;0;1;1833;2021-02-24T16:53:47.025Z;
0;1;1;0;0;0;1;1833;2021-02-24T16:53:53.866Z;
1;1;1;0;0;0;1;1840;2021-02-24T16:54:20.646Z;
1;1;1;0;0;0;1;1838;2021-02-24T16:54:22.586Z;
1;1;1;0;0;0;1;1835;2021-02-24T16:54:23.033Z;
1;1;1;0;0;0;1;1838;2021-02-24T16:54:24.359Z;
1;1;1;0;0;0;1;1835;2021-02-24T16:54:25.354Z;
1;1;1;0;0;0;1;1838;2021-02-24T16:54:26.228Z;
1;1;1;0;0;0;1;1838;2021-02-24T16:54:27.098Z;
1;1;1;0;0;0;1;1835;2021-02-24T16:54:28.729Z;
1;1;1;0;0;0;1;1838;2021-02-24T16:54:29.136Z;
1;1;1;0;0;0;1;1835;2021-02-24T16:54:30.524Z;
1;1;1;0;0;0;1;1835;2021-02-24T16:54:31.712Z;
1;1;1;0;0;0;1;1838;2021-02-24T16:54:32.118Z;
1;1;1;0;0;0;1;1835;2021-02-24T16:54:33.897Z;
1;1;1;0;0;0;1;1833;2021-02-24T16:54:34.303Z;
1;1;1;0;0;0;1;1835;2021-02-24T16:54:35.234Z;
1;1;1;0;0;0;1;1838;2021-02-24T16:54:36.031Z;
1;1;1;0;0;0;1;1838;2021-02-24T16:54:37.224Z;
1;1;1;0;0;0;1;1845;2021-02-24T16:54:38.021Z;
1;1;1;0;0;0;1;1838;2021-02-24T16:54:39.407Z;
1;1;1;0;0;0;1;1840;2021-02-24T16:54:41.410Z;
1;1;1;0;0;0;1;1840;2021-02-24T16:54:42.599Z;
1;1;1;0;0;0;1;1838;2021-02-24T16:54:43.395Z;
1;1;1;0;0;0;1;1842;2021-02-24T16:54:44.583Z;
1;1;1;0;0;0;1;1840;2021-02-24T16:54:45.385Z;
1;1;1;0;0;0;1;1838;2021-02-24T16:54:46.252Z;
1;1;1;0;0;0;1;1838;2021-02-24T16:54:47.129Z;
1;1;1;0;0;0;1;1840;2021-02-24T16:54:48.516Z;
1;1;1;0;0;0;1;1840;2021-02-24T16:54:49.337Z;
1;1;1;0;0;0;1;1840;2021-02-24T16:54:50.137Z;
1;1;1;0;0;0;1;1842;2021-02-24T16:54:51.351Z;
1;1;1;0;0;0;1;1842;2021-02-24T16:54:52.541Z;
1;1;1;0;0;0;1;1842;2021-02-24T16:54:53.349Z;
1;1;1;0;0;0;1;1838;2021-02-24T16:54:54.593Z;
1;1;1;0;0;0;1;1845;2021-02-24T16:54:55.145Z;
1;1;1;0;0;0;1;1849;2021-02-24T16:54:56.531Z;
1;1;1;0;0;0;1;1845;2021-02-24T16:54:57.729Z;
1;1;1;0;0;0;1;1840;2021-02-24T16:54:58.197Z;
1;1;1;0;0;0;1;1838;2021-02-24T16:54:59.584Z;
1;1;1;0;0;0;1;1840;2021-02-24T16:55:00.241Z;
1;1;1;0;0;0;1;1840;2021-02-24T16:55:01.044Z;
1;1;1;0;0;0;1;1838;2021-02-24T16:55:04.991Z;
1;1;1;0;0;0;1;1840;2021-02-24T16:55:05.474Z;
1;1;1;0;0;0;1;1840;2021-02-24T16:55:06.271Z;
1;1;1;0;0;0;1;1842;2021-02-24T16:55:07.245Z;
1;1;1;0;0;0;1;1840;2021-02-24T16:55:08.186Z;
1;1;1;0;0;0;1;1842;2021-02-24T16:55:10.156Z;
1;1;1;0;0;0;1;1842;2021-02-24T16:55:12.163Z;
1;1;1;0;0;0;1;1840;2021-02-24T16:55:13.550Z;
1;1;1;0;0;0;1;1842;2021-02-24T16:55:15.280Z;
0;0;0;0;0;0;1;1842;2021-02-24T16:55:23.335Z;
1;1;1;0;0;0;1;1845;2021-02-24T16:55:57.397Z;
1;1;1;0;0;0;1;1842;2021-02-24T16:55:59.042Z;
1;1;1;0;0;0;1;1842;2021-02-24T16:56:01.031Z;
