input0;input1;input2;input3;input4;input5;input6;input7;ts;
0;0;0;0;0;0;1;0;2021-02-24T17:00:28.888Z;
0;0;0;0;0;0;1;0;2021-02-24T17:00:29.026Z;
0;0;0;0;0;0;1;0;2021-02-24T17:00:30.002Z;
0;0;0;0;0;0;1;0;2021-02-24T17:00:31.029Z;
0;0;0;0;0;0;1;0;2021-02-24T17:00:32.006Z;
6;0;0;0;0;0;1;0;2021-02-24T17:00:33.007Z;
6;0;0;0;0;0;1;0;2021-02-24T17:00:34.049Z;
0;0;0;0;1;1;0;1;2021-02-24T17:01:16.612Z;
0;0;6;0;1;1;0;1;2021-02-24T17:01:19.627Z;
0;0;6;0;1;1;0;1;2021-02-24T17:01:24.209Z;
0;6;0;0;1;1;0;1;2021-02-24T17:01:25.934Z;
0;6;0;0;1;1;0;1;2021-02-24T17:01:37.258Z;
0;0;6;0;1;1;0;1;2021-02-24T17:01:39.448Z;
0;0;9;0;1;1;0;1;2021-02-24T17:01:44.203Z;
0;0;6;0;1;1;0;1;2021-02-24T17:01:55.716Z;
0;0;0;0;1;1;0;1;2021-02-24T17:01:56.013Z;
0;6;0;0;1;1;0;1;2021-02-24T17:01:57.498Z;
0;0;11;0;1;1;0;1;2021-02-24T17:01:59.238Z;
