input0;input1;input2;input3;input4;input5;input6;input7;ts;
1;1633;1;0;0;1;1;1;2021-02-24T16:59:45.050Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:59:46.000Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:59:47.041Z;
1;1626;1;0;0;1;1;1;2021-02-24T16:59:48.006Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:59:49.144Z;
1;1636;1;0;0;1;1;1;2021-02-24T16:59:50.004Z;
1;1636;1;0;0;1;1;1;2021-02-24T16:59:51.005Z;
1;1631;1;0;0;1;1;1;2021-02-24T16:59:52.026Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:59:53.006Z;
1;1629;1;0;0;1;1;1;2021-02-24T16:59:54.001Z;
1;1636;1;0;0;1;1;1;2021-02-24T16:59:55.005Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:59:56.001Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:59:57.008Z;
1;1633;1;0;0;1;1;1;2021-02-24T16:59:58.005Z;
1;1636;1;0;0;1;1;1;2021-02-24T16:59:59.006Z;
1;1631;1;0;0;1;1;1;2021-02-24T17:00:00.009Z;
1;1633;1;0;0;1;1;1;2021-02-24T17:00:01.009Z;
1;1633;1;0;0;1;1;1;2021-02-24T17:00:02.006Z;
1;1631;1;0;0;1;1;1;2021-02-24T17:00:03.096Z;
1;1631;1;0;0;1;1;1;2021-02-24T17:00:04.001Z;
1;1631;1;0;0;1;1;1;2021-02-24T17:00:05.013Z;
1;1633;1;0;0;1;1;1;2021-02-24T17:00:06.014Z;
1;1633;1;0;0;1;1;1;2021-02-24T17:00:07.005Z;
1;1631;1;0;0;1;1;1;2021-02-24T17:00:08.000Z;
1;1631;1;0;0;1;1;1;2021-02-24T17:00:09.006Z;
1;1631;1;0;0;1;1;1;2021-02-24T17:00:10.006Z;
1;1633;1;0;0;1;1;1;2021-02-24T17:00:11.005Z;
1;1633;1;0;0;1;1;1;2021-02-24T17:00:12.022Z;
1;1631;1;0;0;1;1;1;2021-02-24T17:00:13.007Z;
1;1633;1;0;0;1;1;1;2021-02-24T17:00:14.049Z;
1;1633;1;0;0;1;1;1;2021-02-24T17:00:15.020Z;
1;1633;1;0;0;1;1;1;2021-02-24T17:00:16.172Z;
1;1633;1;0;0;1;1;1;2021-02-24T17:00:17.029Z;
1;1631;1;0;0;1;1;1;2021-02-24T17:00:18.009Z;
1;1629;1;0;0;1;1;1;2021-02-24T17:00:19.008Z;
1;1633;1;0;0;1;1;1;2021-02-24T17:00:20.005Z;
1;1629;1;0;0;1;1;1;2021-02-24T17:00:21.033Z;
1;1633;1;0;0;1;1;1;2021-02-24T17:00:22.042Z;
1;1633;1;0;0;1;1;1;2021-02-24T17:00:23.047Z;
1;1636;1;0;0;1;1;1;2021-02-24T17:00:24.069Z;
1;1636;1;0;0;1;1;1;2021-02-24T17:00:25.036Z;
1;1636;1;0;0;1;1;1;2021-02-24T17:00:26.016Z;
1;1636;1;0;0;1;1;1;2021-02-24T17:00:27.039Z;
1;1633;1;0;0;1;1;1;2021-02-24T17:00:28.013Z;
1;1633;1;0;0;1;1;1;2021-02-24T17:00:29.014Z;
1;1633;1;0;0;1;1;1;2021-02-24T17:00:30.027Z;
1;1633;1;0;0;1;1;1;2021-02-24T17:00:31.021Z;
1;1631;1;0;0;1;1;1;2021-02-24T17:00:32.005Z;
1;1633;1;0;0;1;1;1;2021-02-24T17:00:33.041Z;
1;1633;1;0;0;1;1;1;2021-02-24T17:00:34.032Z;
1;1631;1;0;0;1;1;1;2021-02-24T17:00:35.008Z;
1;1633;1;0;0;1;1;1;2021-02-24T17:00:36.024Z;
1;1633;1;0;0;1;1;1;2021-02-24T17:00:37.026Z;
1;1633;1;0;0;1;1;1;2021-02-24T17:00:38.002Z;
1;1631;1;0;0;1;1;1;2021-02-24T17:00:39.001Z;
1;1633;1;0;0;1;1;1;2021-02-24T17:00:40.042Z;
1;1631;1;0;0;1;1;1;2021-02-24T17:00:41.009Z;
1;1633;1;0;0;1;1;1;2021-02-24T17:00:42.020Z;
1;1633;1;0;0;1;1;1;2021-02-24T17:00:43.022Z;
1;1633;1;0;0;1;1;1;2021-02-24T17:00:44.007Z;
1;1633;1;0;0;1;1;1;2021-02-24T17:00:45.010Z;
1;1633;1;0;0;1;1;1;2021-02-24T17:00:46.000Z;
1;1689;1;0;0;1;1;1;2021-02-24T17:00:47.007Z;
1;1636;1;0;0;1;1;1;2021-02-24T17:00:48.018Z;
1;1636;1;0;0;1;1;1;2021-02-24T17:00:49.007Z;
1;1633;1;0;0;1;1;1;2021-02-24T17:00:50.017Z;
1;1636;1;0;0;1;1;1;2021-02-24T17:00:51.017Z;
1;1633;1;0;0;1;1;1;2021-02-24T17:00:52.006Z;
1;1633;1;0;0;1;1;1;2021-02-24T17:00:53.007Z;
1;1633;1;0;0;1;1;1;2021-02-24T17:00:54.006Z;
1;1633;1;0;0;1;1;1;2021-02-24T17:00:55.003Z;
1;1636;1;0;0;1;1;1;2021-02-24T17:00:56.008Z;
1;1636;1;0;0;1;1;1;2021-02-24T17:00:57.018Z;
1;1633;1;0;0;1;1;1;2021-02-24T17:00:58.009Z;
1;1633;1;0;0;1;1;1;2021-02-24T17:00:59.000Z;
1;1636;1;0;0;1;1;1;2021-02-24T17:01:00.002Z;
1;1633;1;0;0;1;1;1;2021-02-24T17:01:01.013Z;
1;1636;1;0;0;1;1;1;2021-02-24T17:01:02.011Z;
1;1633;1;0;0;1;1;1;2021-02-24T17:01:03.019Z;
1;1633;1;0;0;1;1;1;2021-02-24T17:01:04.010Z;
1;1636;1;0;0;1;1;1;2021-02-24T17:01:05.006Z;
1;1636;1;0;0;1;1;1;2021-02-24T17:01:06.009Z;
1;1636;1;0;0;1;1;1;2021-02-24T17:01:07.000Z;
1;1636;1;0;0;1;1;1;2021-02-24T17:01:08.007Z;
1;1636;1;0;0;1;1;1;2021-02-24T17:01:09.009Z;
1;1633;1;0;0;1;1;1;2021-02-24T17:01:10.015Z;
1;1629;1;0;0;1;1;1;2021-02-24T17:01:11.007Z;
