input0;input1;input2;input3;input4;input5;input6;input7;ts;
1;1;1;0;0;0;1;1852;2021-02-24T16:59:46.130Z;
1;1;1;0;0;0;1;1854;2021-02-24T16:59:47.517Z;
0;0;0;0;0;0;1;1856;2021-02-24T16:59:59.631Z;
0;0;0;0;0;0;1;1856;2021-02-24T17:00:00.017Z;
0;0;0;0;0;0;1;1852;2021-02-24T17:00:01.005Z;
0;0;0;0;0;0;1;1856;2021-02-24T17:00:02.005Z;
0;0;0;0;0;0;1;1852;2021-02-24T17:00:03.014Z;
0;0;0;0;0;0;1;1852;2021-02-24T17:00:04.080Z;
0;0;0;0;0;0;1;1856;2021-02-24T17:00:05.010Z;
0;0;0;0;0;0;1;1852;2021-02-24T17:00:06.000Z;
0;0;0;0;0;0;1;1859;2021-02-24T17:00:07.004Z;
0;0;0;0;0;0;1;1856;2021-02-24T17:00:08.024Z;
0;0;0;0;0;0;1;1859;2021-02-24T17:00:09.025Z;
0;0;0;0;0;0;1;1859;2021-02-24T17:00:10.053Z;
0;0;0;0;0;0;1;1856;2021-02-24T17:00:11.031Z;
0;0;0;0;0;0;1;1859;2021-02-24T17:00:12.002Z;
0;0;0;0;0;0;1;1859;2021-02-24T17:00:13.010Z;
0;0;0;0;0;0;1;1856;2021-02-24T17:00:14.009Z;
0;0;0;0;0;0;1;1854;2021-02-24T17:00:15.000Z;
0;0;0;0;0;0;1;1859;2021-02-24T17:00:16.006Z;
0;0;0;0;0;0;1;1856;2021-02-24T17:00:17.038Z;
0;0;0;0;0;0;1;1859;2021-02-24T17:00:18.008Z;
0;0;0;0;0;0;1;1859;2021-02-24T17:00:19.010Z;
0;0;0;0;0;0;1;1856;2021-02-24T17:00:20.011Z;
0;0;0;0;0;0;1;1856;2021-02-24T17:00:21.024Z;
0;0;0;0;0;0;1;1856;2021-02-24T17:00:22.013Z;
0;0;0;0;0;0;1;1856;2021-02-24T17:00:23.003Z;
0;0;0;0;0;0;1;1859;2021-02-24T17:00:24.004Z;
0;0;0;0;0;0;1;1859;2021-02-24T17:00:25.004Z;
0;0;0;0;0;0;1;1856;2021-02-24T17:00:26.021Z;
0;0;0;0;0;0;1;1856;2021-02-24T17:00:27.006Z;
0;0;0;0;0;0;1;1861;2021-02-24T17:00:28.001Z;
0;1;1;0;0;0;1;1861;2021-02-24T17:00:34.446Z;
1;1;1;0;0;0;1;1856;2021-02-24T17:01:01.038Z;
1;1;1;0;0;0;1;1856;2021-02-24T17:01:03.296Z;
1;1;1;0;0;0;1;1856;2021-02-24T17:01:04.096Z;
1;1;1;0;0;0;1;1861;2021-02-24T17:01:05.328Z;
1;1;1;0;0;0;1;1861;2021-02-24T17:01:06.553Z;
1;1;1;0;0;0;1;1859;2021-02-24T17:01:07.011Z;
1;1;1;0;0;0;1;1861;2021-02-24T17:01:08.397Z;
1;1;1;0;0;0;1;1859;2021-02-24T17:01:09.213Z;
1;1;1;0;0;0;1;1856;2021-02-24T17:01:12.166Z;
1;1;1;0;0;0;1;1859;2021-02-24T17:01:13.552Z;
1;1;1;0;0;0;1;1856;2021-02-24T17:01:15.150Z;
1;1;1;0;0;0;1;1861;2021-02-24T17:01:16.341Z;
1;1;1;0;0;0;1;1856;2021-02-24T17:01:17.163Z;
1;1;1;0;0;0;1;1861;2021-02-24T17:01:18.551Z;
1;1;1;0;0;0;1;1856;2021-02-24T17:01:19.012Z;
1;1;1;0;0;0;1;1859;2021-02-24T17:01:21.800Z;
1;1;1;0;0;0;1;1861;2021-02-24T17:01:22.285Z;
1;1;1;0;0;0;1;1859;2021-02-24T17:01:23.242Z;
1;1;1;0;0;0;1;1863;2021-02-24T17:01:24.043Z;
1;1;1;0;0;0;1;1856;2021-02-24T17:01:25.360Z;
1;1;1;0;0;0;1;1854;2021-02-24T17:01:26.284Z;
1;1;1;0;0;0;1;1861;2021-02-24T17:01:27.384Z;
1;1;1;0;0;0;1;1861;2021-02-24T17:01:28.304Z;
1;1;1;0;0;0;1;1863;2021-02-24T17:01:29.177Z;
1;1;1;0;0;0;1;1856;2021-02-24T17:01:30.364Z;
1;1;1;0;0;0;1;1856;2021-02-24T17:01:31.552Z;
1;1;1;0;0;0;1;1861;2021-02-24T17:01:32.349Z;
1;1;1;0;0;0;1;1861;2021-02-24T17:01:33.538Z;
1;1;1;0;0;0;1;1859;2021-02-24T17:01:34.772Z;
1;1;1;0;0;0;1;1863;2021-02-24T17:01:35.195Z;
1;1;1;0;0;0;1;1859;2021-02-24T17:01:36.582Z;
1;1;1;0;0;0;1;1861;2021-02-24T17:01:37.177Z;
1;1;1;0;0;0;1;1863;2021-02-24T17:01:38.956Z;
1;1;1;0;0;0;1;1856;2021-02-24T17:01:39.393Z;
1;1;1;0;0;0;1;1859;2021-02-24T17:01:40.190Z;
1;1;1;0;0;0;1;1856;2021-02-24T17:01:41.577Z;
1;1;1;0;0;0;1;1856;2021-02-24T17:01:42.773Z;
1;1;1;0;0;0;1;1859;2021-02-24T17:01:43.185Z;
1;1;1;0;0;0;1;1856;2021-02-24T17:01:44.572Z;
1;1;1;0;0;0;1;1859;2021-02-24T17:01:45.139Z;
1;1;1;0;0;0;1;1859;2021-02-24T17:01:46.330Z;
1;1;1;0;0;0;1;1861;2021-02-24T17:01:47.113Z;
1;1;1;0;0;0;1;1849;2021-02-24T17:01:48.306Z;
1;1;1;0;0;0;1;1861;2021-02-24T17:01:49.495Z;
1;1;1;0;0;0;1;1859;2021-02-24T17:01:50.032Z;
1;1;1;0;0;0;1;1863;2021-02-24T17:01:51.268Z;
1;1;1;0;0;0;1;1866;2021-02-24T17:01:52.277Z;
1;1;1;0;0;0;1;1861;2021-02-24T17:01:53.084Z;
1;1;1;0;0;0;1;1861;2021-02-24T17:01:54.269Z;
1;1;1;0;0;0;1;1861;2021-02-24T17:01:55.378Z;
1;1;1;0;0;0;1;1859;2021-02-24T17:01:56.192Z;
1;1;1;0;0;0;1;1861;2021-02-24T17:01:57.578Z;
1;1;1;0;0;0;1;1861;2021-02-24T17:01:58.376Z;
1;1;1;0;0;0;1;1863;2021-02-24T17:01:59.566Z;
1;1;1;0;0;0;1;1861;2021-02-24T17:02:01.147Z;
1;1;1;0;0;0;1;1859;2021-02-24T17:02:02.342Z;
1;1;1;0;0;0;1;1859;2021-02-24T17:02:03.987Z;
1;1;1;0;0;0;1;1861;2021-02-24T17:02:04.393Z;
1;1;1;0;0;0;1;1859;2021-02-24T17:02:05.671Z;
1;1;1;0;0;0;1;1861;2021-02-24T17:02:06.892Z;
